Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	***Cluster  05***	***Cluster  06***	
000039:	0.316515340909091	0.026617613636364	0.225928409090909	0.147643181818182	0.052810227272727	0.230485227272727		1
000040:	0.050282954545455	0.013340909090909	0.022027840909091	0.877064204545455	0.011230113636364	0.026053977272727		1
000041:	0.498576136363636	0.033852840909091	0.118321590909091	0.153196022727273	0.108600568181818	0.087452840909091		1
000042:	0.313057386363636	0.034581818181818	0.129910795454545	0.192217613636364	0.051444318181818	0.278788068181818		1
000043:	0.328869318181818	0.032402840909091	0.199557954545455	0.127818181818182	0.249757386363636	0.061594318181818		1
000044:	0.343831818181818	0.033784090909091	0.324213068181818	0.123028409090909	0.085154545454545	0.089988068181818		1
000045:	0.014246022727273	0.001428977272727	0.014639204545455	0.004661931818182	0.632446590909091	0.332577272727273		1
000046:	0.237465340909091	0.189043750000000	0.271320454545455	0.063664772727273	0.108429545454545	0.130076136363636		1
000047:	0.275050000000000	0.040141477272727	0.223746590909091	0.209730681818182	0.195165909090909	0.056165340909091		1
000048:	0.070175000000000	0.052343181818182	0.423603409090909	0.091735795454545	0.337462500000000	0.024680113636364		1
000049:	0.197006250000000	0.032280681818182	0.553027840909091	0.043001136363636	0.141815909090909	0.032868181818182		1
000050:	0.162740340909091	0.058311931818182	0.217878977272727	0.324515909090909	0.172789204545455	0.063763636363636		1
000051:	0.046082954545455	0.016378977272727	0.033489204545455	0.762175568181818	0.123007386363636	0.018865909090909		1
000052:	0.026694318181818	0.013671590909091	0.048641477272727	0.829684090909091	0.070582954545455	0.010725568181818		1
000053:	0.151584090909091	0.018224431818182	0.423944318181818	0.144318181818182	0.174091477272727	0.087837500000000		1
000054:	0.165396022727273	0.065232386363636	0.112567045454545	0.087497727272727	0.130784659090909	0.438522159090909		1
000055:	0.052923295454545	0.018864204545455	0.528430113636364	0.196139204545455	0.182562500000000	0.021080681818182		1
000056:	0.086980113636364	0.026357954545455	0.680190909090909	0.053675000000000	0.121821590909091	0.030974431818182		1
000057:	0.244799431818182	0.029011931818182	0.466067613636364	0.064511363636364	0.141478409090909	0.054131250000000		1
000058:	0.020187500000000	0.006047727272727	0.915978409090909	0.021236931818182	0.022202272727273	0.014347159090909		1
000059:	0.162865909090909	0.016211931818182	0.697077272727273	0.031106250000000	0.043368181818182	0.049370454545455		1
000060:	0.039803977272727	0.019757954545455	0.782359090909091	0.054464772727273	0.077044318181818	0.026569886363636		1
000061:	0.089140340909091	0.019982954545455	0.740818181818182	0.042707954545455	0.073439772727273	0.033910795454545		1
000062:	0.029748295454545	0.046064204545455	0.031565909090909	0.827288068181818	0.047829545454545	0.017503977272727		1
000063:	0.026093181818182	0.019266477272727	0.035710227272727	0.754409659090909	0.148911363636364	0.015609090909091		1
000064:	0.029775568181818	0.056500000000000	0.059991477272727	0.519814772727273	0.314090340909091	0.019827840909091		1
000065:	0.047011931818182	0.019956818181818	0.729814204545455	0.057800568181818	0.117108522727273	0.028307954545455		1
000066:	0.314799431818182	0.026449431818182	0.423284659090909	0.082826136363636	0.113655681818182	0.038984659090909		1
000067:	0.035725568181818	0.032085795454545	0.034303409090909	0.605415909090909	0.272460795454545	0.020008522727273		1
000068:	0.105521590909091	0.013378409090909	0.781507954545455	0.021762500000000	0.043223295454545	0.034606250000000		1
000069:	0.367108522727273	0.023546590909091	0.420536931818182	0.054558522727273	0.101182954545455	0.033066477272727		1
000070:	0.150948863636364	0.096179545454545	0.250335795454545	0.324528409090909	0.112627272727273	0.065380113636364		1
000071:	0.159256818181818	0.020980113636364	0.718435227272727	0.022894318181818	0.047207386363636	0.031226136363636		1
000072:	0.046687500000000	0.035078977272727	0.642297727272727	0.080923863636364	0.167556250000000	0.027455681818182		1
000073:	0.044243181818182	0.032406818181818	0.694304545454545	0.037614772727273	0.168592613636364	0.022838068181818		1
000074:	0.182496590909091	0.040325000000000	0.220389772727273	0.144781250000000	0.074175568181818	0.337831818181818		1
000075:	0.240633522727273	0.038715340909091	0.154912500000000	0.135486931818182	0.151669886363636	0.278581818181818		1
000076:	0.141333522727273	0.426518750000000	0.201653977272727	0.033740340909091	0.086028977272727	0.110724431818182		1
000077:	0.107410795454545	0.140829545454545	0.481991477272727	0.072419318181818	0.124991477272727	0.072357386363636		1
000078:	0.195020454545455	0.049373295454545	0.354003977272727	0.174880113636364	0.196962500000000	0.029759659090909		1
000079:	0.219300000000000	0.044413068181818	0.381736363636364	0.079009090909091	0.090700568181818	0.184840909090909		1
000080:	0.254768181818182	0.031568750000000	0.429890909090909	0.029768181818182	0.063485227272727	0.190518750000000		1
000081:	0.072182386363636	0.019260227272727	0.687269886363636	0.025765340909091	0.177490909090909	0.018031250000000		1
000082:	0.057135795454545	0.029234659090909	0.679888636363636	0.059924431818182	0.152556818181818	0.021259659090909		1
000083:	0.071022727272727	0.023921590909091	0.793395454545455	0.018841477272727	0.065361363636364	0.027457386363636		1
000084:	0.015186931818182	0.022932386363636	0.012797727272727	0.920936931818182	0.013997159090909	0.014148863636364		1
000085:	0.491059659090909	0.060500568181818	0.147151704545455	0.082398863636364	0.155694318181818	0.063194886363636		1
000086:	0.124032954545455	0.047615909090909	0.098662500000000	0.468135795454545	0.113632386363636	0.147920454545455		1
000087:	0.249771590909091	0.018034090909091	0.590635227272727	0.033731818181818	0.077501704545455	0.030325568181818		1
000088:	0.556003977272727	0.019253409090909	0.304503409090909	0.031505113636364	0.035109090909091	0.053625000000000		1
000089:	0.529792613636364	0.038732954545455	0.243343750000000	0.037340909090909	0.096459090909091	0.054330681818182		1
000090:	0.139018750000000	0.033644886363636	0.422120454545455	0.100868750000000	0.065234090909091	0.239113068181818		1
000091:	0.156274431818182	0.190095454545455	0.271096590909091	0.058269886363636	0.100255113636364	0.224008522727273		1
000092:	0.042921590909091	0.022407386363636	0.797485227272727	0.029315340909091	0.073254545454545	0.034615909090909		1
000093:	0.158944318181818	0.060307954545455	0.406020454545455	0.088872159090909	0.133638068181818	0.152217045454545		1
000094:	0.110029545454545	0.044904545454545	0.723936931818182	0.035071590909091	0.051202840909091	0.034854545454545		1
000095:	0.059147727272727	0.044177272727273	0.616171022727273	0.104338636363636	0.144725000000000	0.031440340909091		1
000096:	0.029955113636364	0.007669886363636	0.043139204545455	0.823697727272727	0.073646022727273	0.021892045454545		1
000097:	0.262091477272727	0.015641477272727	0.576557386363636	0.037031250000000	0.057106250000000	0.051572159090909		1
000098:	0.078543750000000	0.008581250000000	0.840387500000000	0.017275568181818	0.039930113636364	0.015281818181818		1
000099:	0.209760227272727	0.028834090909091	0.282606818181818	0.347949431818182	0.086115340909091	0.044734090909091		1
000100:	0.047927272727273	0.010595454545455	0.230132386363636	0.542576704545455	0.131579545454545	0.037188636363636		1
000101:	0.755173863636364	0.010924431818182	0.111648863636364	0.033838068181818	0.067464772727273	0.020950000000000		1
000102:	0.478419886363636	0.006640340909091	0.331914772727273	0.029054545454545	0.132990340909091	0.020980113636364		1
000103:	0.138663068181818	0.052542045454545	0.511328977272727	0.058081250000000	0.116415909090909	0.122968750000000		1
000104:	0.060514204545455	0.010242045454545	0.203483522727273	0.421277272727273	0.279907954545455	0.024575000000000		1
000105:	0.379803977272727	0.022753409090909	0.270877272727273	0.154553409090909	0.071656818181818	0.100355113636364		1
000106:	0.734371022727273	0.028719318181818	0.091224431818182	0.028938068181818	0.057238636363636	0.059508522727273		1
000107:	0.260090909090909	0.032600000000000	0.070767613636364	0.439624431818182	0.151010795454545	0.045906250000000		1
000108:	0.085990909090909	0.018150000000000	0.054323295454545	0.715418750000000	0.063753409090909	0.062363636363636		1
000109:	0.460800000000000	0.047615340909091	0.267348295454545	0.058218181818182	0.088105113636364	0.077913068181818		1
000110:	0.069709659090909	0.161463068181818	0.061457386363636	0.136954545454545	0.063455681818182	0.506959659090909		1
000111:	0.107646590909091	0.036633522727273	0.089829545454545	0.264539772727273	0.416612500000000	0.084738068181818		1
000112:	0.672130681818182	0.034998295454545	0.051795454545455	0.107388068181818	0.052481818181818	0.081205681818182		1
000113:	0.126285795454545	0.009199431818182	0.289311363636364	0.041629545454545	0.521906818181818	0.011667045454545		1
000114:	0.135962500000000	0.110248295454545	0.533375568181818	0.028062500000000	0.117856818181818	0.074494318181818		1
000115:	0.206263068181818	0.042322159090909	0.501327840909091	0.090261363636364	0.099555113636364	0.060270454545455		1
000116:	0.079873863636364	0.035778409090909	0.300761931818182	0.280234659090909	0.254455113636364	0.048896022727273		1
000117:	0.591677840909091	0.033322159090909	0.055738636363636	0.054132954545455	0.168992045454545	0.096136363636364		1
000118:	0.090704545454545	0.037932954545455	0.306318181818182	0.220015909090909	0.308808522727273	0.036219886363636		1
000119:	0.354004545454545	0.045486363636364	0.401384659090909	0.108638636363636	0.040470454545455	0.050015340909091		1
000120:	0.186691477272727	0.024050568181818	0.115215909090909	0.168135227272727	0.431832386363636	0.074074431818182		1
000121:	0.130622727272727	0.052389772727273	0.459390909090909	0.108530113636364	0.082830681818182	0.166235795454545		1
000122:	0.305268181818182	0.012930681818182	0.549873863636364	0.046413068181818	0.052793181818182	0.032721022727273		1
000123:	0.027803409090909	0.019776704545455	0.872521590909091	0.022913068181818	0.036422727272727	0.020562500000000		1
000124:	0.377645454545455	0.078511931818182	0.221618750000000	0.041867613636364	0.142200568181818	0.138155681818182		1
000125:	0.101468750000000	0.170543750000000	0.147401704545455	0.104644318181818	0.424767613636364	0.051173863636364		1
000126:	0.057541477272727	0.728853977272727	0.034070454545455	0.041174431818182	0.112207386363636	0.026152272727273		1
000127:	0.185406818181818	0.035093750000000	0.375510227272727	0.203346022727273	0.134262500000000	0.066380681818182		1
000128:	0.091161931818182	0.023878409090909	0.446093750000000	0.070658522727273	0.336039204545455	0.032168181818182		1
000129:	0.190639204545455	0.031442045454545	0.603716477272727	0.020544318181818	0.043915909090909	0.109742045454545		1
000130:	0.026350000000000	0.022640340909091	0.791736363636364	0.039477840909091	0.092224431818182	0.027571022727273		1
000131:	0.252468750000000	0.027441477272727	0.512773295454545	0.059976704545455	0.124611363636364	0.022728409090909		1
000132:	0.132777272727273	0.027532386363636	0.091280113636364	0.585606250000000	0.134033522727273	0.028770454545455		1
000133:	0.059375000000000	0.323661931818182	0.442976704545455	0.032750568181818	0.076635227272727	0.064600568181818		1
000134:	0.144573295454545	0.036834090909091	0.424016477272727	0.062263068181818	0.157139772727273	0.175173295454545		1
