Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	***Cluster  05***	
000001:	0.173572727272727	0.598542045454545	0.067991477272727	0.151266477272727	0.008627272727273		1
000002:	0.030347159090909	0.890402840909091	0.025269886363636	0.048394886363636	0.005585227272727		1
000003:	0.037585227272727	0.776656250000000	0.067196590909091	0.105169886363636	0.013392045454545		1
000004:	0.021560227272727	0.924984090909091	0.028645454545455	0.019597727272727	0.005212500000000		1
000005:	0.045049431818182	0.883310227272727	0.014753409090909	0.052348295454545	0.004538636363636		1
000006:	0.060120454545455	0.854920454545455	0.018821022727273	0.053545454545455	0.012592613636364		1
000007:	0.023282386363636	0.874319318181818	0.024002840909091	0.068852272727273	0.009543181818182		1
000008:	0.027526136363636	0.895845454545455	0.032045454545455	0.036376704545455	0.008206250000000		1
000009:	0.002594318181818	0.317044886363636	0.678276136363636	0.001813068181818	0.000271590909091		1
000010:	0.033244318181818	0.905347727272727	0.027364204545455	0.029027272727273	0.005016477272727		1
000011:	0.176019886363636	0.407819318181818	0.124328977272727	0.153423863636364	0.138407954545455		1
000012:	0.339649431818182	0.175434090909091	0.330057954545455	0.045048295454545	0.109810227272727		1
000013:	0.299777840909091	0.119187500000000	0.201927272727273	0.032202840909091	0.346904545454545		1
000014:	0.084467613636364	0.508368181818182	0.089781818181818	0.186771590909091	0.130610795454545		1
000015:	0.146383522727273	0.547989204545455	0.226697159090909	0.035421590909091	0.043508522727273		1
000016:	0.070401136363636	0.701721022727273	0.121712500000000	0.043072727272727	0.063092613636364		1
000017:	0.411843750000000	0.320277272727273	0.170219886363636	0.050826136363636	0.046832954545455		1
000018:	0.426878409090909	0.111678977272727	0.180791477272727	0.030406250000000	0.250244886363636		1
000019:	0.128519886363636	0.277962500000000	0.452350000000000	0.060940340909091	0.080227272727273		1
000020:	0.328560795454545	0.496878977272727	0.077319886363636	0.047100568181818	0.050139772727273		1
000021:	0.540759090909091	0.086529545454545	0.270050000000000	0.071492045454545	0.031169318181818		1
000022:	0.268783522727273	0.131069886363636	0.519278977272727	0.022862500000000	0.058005113636364		1
