Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	***Cluster  05***	***Cluster  06***	***Cluster  07***	***Cluster  08***	
000001:	0.092536931818182	0.121594886363636	0.145315340909091	0.129353977272727	0.263503409090909	0.094520454545455	0.028369318181818	0.124805681818182		1
000002:	0.024487500000000	0.068955113636364	0.062626704545455	0.029642613636364	0.113255681818182	0.040360227272727	0.020165909090909	0.640506250000000		1
000003:	0.015976136363636	0.159558522727273	0.029141477272727	0.049553409090909	0.408314204545455	0.015949431818182	0.014585227272727	0.306921590909091		1
000004:	0.024650000000000	0.018884659090909	0.522413636363636	0.032057954545455	0.046949431818182	0.068756250000000	0.017844886363636	0.268443181818182		1
000005:	0.025540909090909	0.020232386363636	0.052394318181818	0.037653409090909	0.453393181818182	0.029856818181818	0.013803977272727	0.367125000000000		1
000006:	0.036177272727273	0.028409659090909	0.458294318181818	0.054677840909091	0.072361931818182	0.049400568181818	0.108987500000000	0.191690909090909		1
000007:	0.073621022727273	0.116348295454545	0.079779545454545	0.035572727272727	0.241470454545455	0.150783522727273	0.022600000000000	0.279824431818182		1
000008:	0.020829545454545	0.027890340909091	0.056442045454545	0.022459659090909	0.065490909090909	0.028672727272727	0.026690340909091	0.751524431818182		1
000009:	0.012134659090909	0.037768181818182	0.142890340909091	0.039601136363636	0.061024431818182	0.049743181818182	0.020669318181818	0.636168750000000		1
000010:	0.026302272727273	0.147660795454545	0.112345454545455	0.066834659090909	0.189396590909091	0.086596590909091	0.036405113636364	0.334458522727273		1
000011:	0.109386363636364	0.039213636363636	0.103599431818182	0.034111363636364	0.607763636363636	0.018040340909091	0.056702272727273	0.031182954545455		1
000012:	0.024604545454545	0.022803409090909	0.129549431818182	0.135057386363636	0.040763068181818	0.541948863636364	0.076074431818182	0.029198863636364		1
000013:	0.143229545454545	0.023052272727273	0.246563068181818	0.231463636363636	0.065856250000000	0.106500000000000	0.120457386363636	0.062877840909091		1
000014:	0.015207386363636	0.012584659090909	0.734537500000000	0.028721590909091	0.033972727272727	0.120736363636364	0.016246590909091	0.037993181818182		1
000015:	0.022314772727273	0.009065340909091	0.598194318181818	0.160739204545455	0.031801704545455	0.100117613636364	0.014269318181818	0.063497727272727		1
000016:	0.021689772727273	0.017310795454545	0.840830113636364	0.014858522727273	0.026809090909091	0.018193181818182	0.012959090909091	0.047349431818182		1
000017:	0.024281818181818	0.021027840909091	0.054221022727273	0.381409659090909	0.375047159090909	0.045421590909091	0.009584090909091	0.089006818181818		1
000018:	0.017891477272727	0.019753409090909	0.094026704545455	0.370006818181818	0.043606250000000	0.265208522727273	0.142821022727273	0.046685795454545		1
000019:	0.010897727272727	0.022035795454545	0.041959090909091	0.017927840909091	0.821107954545455	0.048234659090909	0.025515340909091	0.012321590909091		1
000020:	0.030300568181818	0.026317045454545	0.431786363636364	0.154289772727273	0.120641477272727	0.107831818181818	0.038188068181818	0.090644886363636		1
000021:	0.458266477272727	0.068406818181818	0.031128977272727	0.199623863636364	0.068436931818182	0.107067045454545	0.025898295454545	0.041171590909091		1
000022:	0.026867045454545	0.013565340909091	0.042335227272727	0.125224431818182	0.034916477272727	0.693810795454545	0.015634090909091	0.047646590909091		1
