Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	
000001:	0.108365340909091	0.891634659090909		1
000002:	0.019748295454545	0.980251704545455		1
000003:	0.050733522727273	0.949266477272727		1
000004:	0.023555681818182	0.976444318181818		1
000005:	0.036335227272727	0.963664772727273		1
000006:	0.062803977272727	0.937196022727273		1
000007:	0.016102840909091	0.983897159090909		1
000008:	0.023253977272727	0.976746022727273		1
000009:	0.027115909090909	0.972884090909091		1
000010:	0.057984090909091	0.942015909090909		1
000011:	0.416007954545455	0.583992045454545		1
000012:	0.897913636363636	0.102086363636364		1
000013:	0.934225568181818	0.065774431818182		1
000014:	0.558709090909091	0.441290909090909		1
000015:	0.533055113636364	0.466944886363636		1
000016:	0.316303409090909	0.683696590909091		1
000017:	0.719047159090909	0.280952840909091		1
000018:	0.941171590909091	0.058828409090909		1
000019:	0.795594318181818	0.204405681818182		1
000020:	0.759940340909091	0.240059659090909		1
000021:	0.907178409090909	0.092821590909091		1
000022:	0.902210795454545	0.097789204545455		1
000023:	0.851973295454545	0.148026704545455		1
000024:	0.829471590909091	0.170528409090909		1
000025:	0.924630681818182	0.075369318181818		1
000026:	0.942646590909091	0.057353409090909		1
000027:	0.963761931818182	0.036238068181818		1
000028:	0.644265340909091	0.355734659090909		1
000029:	0.894657954545454	0.105342045454545		1
000030:	0.730770454545455	0.269229545454545		1
000031:	0.963602840909091	0.036397159090909		1
000032:	0.933259659090909	0.066740340909091		1
000033:	0.856188068181818	0.143811931818182		1
000034:	0.754371590909091	0.245628409090909		1
000035:	0.873532386363636	0.126467613636364		1
000036:	0.774352272727273	0.225647727272727		1
000037:	0.948211363636364	0.051788636363636		1
000038:	0.792530113636364	0.207469886363636		1
000039:	0.931866477272727	0.068133522727273		1
000040:	0.725421022727273	0.274578977272727		1
000041:	0.910484090909091	0.089515909090909		1
000042:	0.942039772727273	0.057960227272727		1
000043:	0.606701704545455	0.393298295454545		1
000044:	0.864555681818182	0.135444318181818		1
000045:	0.957171590909091	0.042828409090909		1
000046:	0.744834090909091	0.255165909090909		1
000047:	0.603077840909091	0.396922159090909		1
000048:	0.173948863636364	0.826051136363636		1
000049:	0.582994318181818	0.417005681818182		1
000050:	0.595310795454545	0.404689204545455		1
000051:	0.083980681818182	0.916019318181818		1
000052:	0.153713068181818	0.846286931818182		1
000053:	0.678459659090909	0.321540340909091		1
000054:	0.813130113636364	0.186869886363636		1
000055:	0.229475000000000	0.770525000000000		1
000056:	0.540513068181818	0.459486931818182		1
000057:	0.642166477272727	0.357833522727273		1
000058:	0.833983522727273	0.166016477272727		1
000059:	0.903467613636364	0.096532386363636		1
000060:	0.434792613636364	0.565207386363636		1
000061:	0.536786931818182	0.463213068181818		1
000062:	0.179694886363636	0.820305113636364		1
000063:	0.119575568181818	0.880424431818182		1
000064:	0.048350568181818	0.951649431818182		1
000065:	0.126403409090909	0.873596590909091		1
000066:	0.710606818181818	0.289393181818182		1
000067:	0.075715340909091	0.924284659090909		1
000068:	0.835338636363636	0.164661363636364		1
000069:	0.810267613636364	0.189732386363636		1
000070:	0.627291477272727	0.372708522727273		1
000071:	0.862581250000000	0.137418750000000		1
000072:	0.342561931818182	0.657438068181818		1
000073:	0.255613636363636	0.744386363636364		1
000074:	0.898946590909091	0.101053409090909		1
000075:	0.791641477272727	0.208358522727273		1
000076:	0.538707386363636	0.461292613636364		1
000077:	0.413707954545455	0.586292045454545		1
000078:	0.255728977272727	0.744271022727273		1
000079:	0.842294318181818	0.157705681818182		1
000080:	0.873909659090909	0.126090340909091		1
000081:	0.287182386363636	0.712817613636364		1
000082:	0.372582954545455	0.627417045454545		1
000083:	0.455891477272727	0.544108522727273		1
000084:	0.415719318181818	0.584280681818182		1
000085:	0.707377272727273	0.292622727272727		1
000086:	0.659057954545455	0.340942045454545		1
