30000	4	1	
0	0	0	0	
0.0952984	0.279421	0.157518	0.333173	
0.322433	0.369527	0.360031	0.508854	
0.491413	0.553677	0.570094	0.627145	
0.449002	0.642867	0.536327	0.638922	
0.474317	0.676116	0.672496	0.727555	
0.485632	0.67327	0.616361	0.697987	
0.615011	0.651375	0.553998	0.782644	
0.574599	0.750247	0.712878	0.74895	
0.669092	0.703766	0.691607	0.738126	
0.536063	0.77154	0.676452	0.821953	
0.656117	0.806016	0.689905	0.867748	
0.633619	0.769402	0.670526	0.790659	
0.733843	0.746812	0.667457	0.890166	
0.638024	0.787918	0.75973	0.75483	
0.673462	0.800631	0.737614	0.845006	
0.7875	0.779013	0.827322	0.809148	
0.699803	0.821417	0.680631	0.842353	
0.640858	0.797561	0.796147	0.834699	
0.747109	0.798942	0.837265	0.897326	
0.655234	0.82664	0.676126	0.80015	
0.619037	0.781323	0.74134	0.85919	
0.692293	0.780045	0.792562	0.859698	
0.666099	0.813457	0.795328	0.911629	
0.637985	0.901065	0.728131	0.830965	
0.679641	0.763069	0.707696	0.87965	
0.661769	0.722129	0.697859	0.872577	
0.682682	0.793327	0.769806	0.805475	
0.644358	0.815361	0.714434	0.780371	
0.589657	0.679997	0.781765	0.846188	
0.700434	0.805361	0.719848	0.858022	
0.644662	0.817693	0.711066	0.842459	
0.632314	0.841195	0.769611	0.903326	
0.512426	0.823424	0.740679	0.886314	
0.629974	0.71452	0.766093	0.913512	
0.56253	0.819172	0.659542	0.83655	
0.587159	0.828075	0.770293	0.917417	
0.53767	0.858507	0.670762	0.841153	
0.58502	0.86374	0.680456	0.808646	
0.614162	0.793573	0.723042	0.781579	
0.563251	0.815656	0.722319	0.788053	
0.671956	0.730475	0.744054	0.733321	
0.592388	0.773161	0.685422	0.821117	
0.624458	0.739859	0.674966	0.765543	
0.605207	0.764123	0.712689	0.801317	
0.573346	0.739152	0.624504	0.86793	
0.560354	0.768585	0.688925	0.776134	
0.644089	0.786427	0.782689	0.808103	
0.485162	0.822367	0.68652	0.826336	
0.665668	0.773571	0.600284	0.791745	
0.588842	0.793304	0.655853	0.8668	
0.622777	0.723043	0.729213	0.717799	
0.577705	0.810128	0.733954	0.810998	
0.609229	0.72933	0.710322	0.848624	
0.582344	0.828764	0.626036	0.753102	
0.680179	0.692791	0.667819	0.820991	
0.658265	0.781723	0.674736	0.779187	
0.586139	0.648879	0.717411	0.838144	
0.579352	0.709261	0.737528	0.786041	
0.723696	0.724341	0.67733	0.761557	
0.625603	0.725117	0.73327	0.815518	
0.649712	0.809989	0.587338	0.800093	
0.507012	0.710609	0.687243	0.727384	
0.559732	0.67702	0.737262	0.753385	
0.627173	0.672435	0.724716	0.779294	
0.572199	0.64512	0.588365	0.852735	
0.627852	0.745267	0.685162	0.797274	
0.579528	0.76576	0.690995	0.866872	
0.51164	0.72268	0.675356	0.836739	
0.604087	0.701731	0.679354	0.873554	
0.605173	0.737192	0.666265	0.845274	
0.640876	0.76678	0.705261	0.767711	
0.598118	0.750499	0.638304	0.789071	
0.638882	0.709435	0.611368	0.823456	
0.479259	0.756026	0.611775	0.795518	
0.668733	0.682099	0.683226	0.80921	
0.668786	0.634776	0.69742	0.748013	
0.57547	0.833513	0.670296	0.817934	
0.577668	0.732654	0.620427	0.697604	
0.561167	0.723916	0.648988	0.752419	
0.575054	0.731619	0.6861	0.707351	
