Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	***Cluster  05***	***Cluster  06***	***Cluster  07***	***Cluster  08***	
000053:	0.195671590909091	0.039160227272727	0.144663068181818	0.095798863636364	0.033276704545455	0.031719318181818	0.326351704545455	0.133358522727273		1
000054:	0.080901136363636	0.292492613636364	0.149344318181818	0.086494886363636	0.037509090909091	0.103702840909091	0.133826704545455	0.115728409090909		1
000055:	0.071534659090909	0.022308522727273	0.040358522727273	0.680890909090909	0.019463068181818	0.066509659090909	0.035339772727273	0.063594886363636		1
000056:	0.026255113636364	0.090777272727273	0.033802272727273	0.645998863636364	0.008313636363636	0.024471022727273	0.120867613636364	0.049514204545455		1
000057:	0.070703409090909	0.058762500000000	0.238138068181818	0.119796590909091	0.038786363636364	0.034401704545455	0.190828977272727	0.248582386363636		1
000058:	0.027867613636364	0.023325568181818	0.045442613636364	0.020567613636364	0.014484090909091	0.670755681818182	0.158348295454545	0.039208522727273		1
000059:	0.025585227272727	0.078718750000000	0.285289772727273	0.055651704545455	0.023384090909091	0.082648295454545	0.392843181818182	0.055878977272727		1
000060:	0.063452272727273	0.029950000000000	0.087933522727273	0.091686931818182	0.039925000000000	0.163172159090909	0.400967613636364	0.122912500000000		1
000061:	0.040873295454545	0.022744886363636	0.071059659090909	0.057803977272727	0.024686931818182	0.396624431818182	0.340463068181818	0.045743750000000		1
000062:	0.459519318181818	0.023515340909091	0.031142613636364	0.202409659090909	0.018410227272727	0.061306818181818	0.042468181818182	0.161227840909091		1
000063:	0.327261931818182	0.033693750000000	0.039315340909091	0.176990340909091	0.018695454545455	0.022712500000000	0.052289204545455	0.329041477272727		1
000064:	0.423879545454545	0.020935795454545	0.029989772727273	0.219727272727273	0.048881250000000	0.020027840909091	0.035141477272727	0.201417045454545		1
000065:	0.034268181818182	0.023415909090909	0.064436363636364	0.104651136363636	0.033981818181818	0.107042613636364	0.513247727272727	0.118956250000000		1
000066:	0.107850000000000	0.046963636363636	0.297256818181818	0.115942613636364	0.017406818181818	0.039698863636364	0.270306818181818	0.104574431818182		1
000067:	0.308396022727273	0.022670454545455	0.038122727272727	0.248777272727273	0.019353409090909	0.029225000000000	0.023080113636364	0.310375000000000		1
000068:	0.004841477272727	0.011681818181818	0.109237500000000	0.006648295454545	0.008480113636364	0.810722727272727	0.038659090909091	0.009728977272727		1
000069:	0.076378977272727	0.041379545454545	0.269569886363636	0.184398295454545	0.021803977272727	0.126194886363636	0.195875568181818	0.084398863636364		1
000070:	0.132232954545455	0.056169318181818	0.069593750000000	0.233600568181818	0.045325568181818	0.054494318181818	0.342857954545455	0.065725568181818		1
000071:	0.005622727272727	0.002133522727273	0.004399431818182	0.001577840909091	0.005278409090909	0.926368181818182	0.049913636363636	0.004706250000000		1
000072:	0.074616477272727	0.025360227272727	0.076551136363636	0.087736363636364	0.035392613636364	0.104752840909091	0.482682954545455	0.112907386363636		1
000073:	0.034440909090909	0.019667613636364	0.128263636363636	0.682050000000000	0.018634659090909	0.017218181818182	0.046269886363636	0.053455113636364		1
000074:	0.211985795454545	0.235430113636364	0.091686931818182	0.180667613636364	0.033210227272727	0.030832954545455	0.161609659090909	0.054576704545455		1
000075:	0.083595454545455	0.142162500000000	0.223498295454545	0.122496022727273	0.049346022727273	0.205783522727273	0.092551704545455	0.080566477272727		1
000076:	0.021146022727273	0.379898863636364	0.073281250000000	0.038373295454545	0.247184090909091	0.120613636363636	0.060010227272727	0.059492613636364		1
000077:	0.088061363636364	0.118823863636364	0.119910227272727	0.101815340909091	0.123685227272727	0.098579545454545	0.189777840909091	0.159346590909091		1
000078:	0.099871590909091	0.028864772727273	0.105502840909091	0.117614204545455	0.031907954545455	0.203719318181818	0.229965340909091	0.182553977272727		1
000079:	0.059772727272727	0.111278409090909	0.324905681818182	0.056926704545455	0.036414204545455	0.080765340909091	0.152979545454545	0.176957386363636		1
000080:	0.027653977272727	0.161041477272727	0.286005681818182	0.046175000000000	0.042848863636364	0.139453409090909	0.225847159090909	0.070974431818182		1
000081:	0.040422159090909	0.031855113636364	0.125471022727273	0.259393750000000	0.027839204545455	0.108242613636364	0.298034659090909	0.108741477272727		1
000082:	0.024859090909091	0.014147159090909	0.024827272727273	0.323561363636364	0.014812500000000	0.039486363636364	0.509554545454545	0.048751704545455		1
000083:	0.030010795454545	0.045444886363636	0.109802840909091	0.169761931818182	0.050356250000000	0.181544318181818	0.338223295454545	0.074855681818182		1
000084:	0.752327272727273	0.023188068181818	0.042227272727273	0.035825000000000	0.058455113636364	0.041264204545455	0.016341477272727	0.030371590909091		1
000085:	0.113947727272727	0.060309659090909	0.277589204545455	0.109158522727273	0.054616477272727	0.117614204545455	0.080568750000000	0.186195454545455		1
000086:	0.312060227272727	0.123135227272727	0.104563636363636	0.078671590909091	0.058091477272727	0.060808522727273	0.157663636363636	0.105005681818182		1
000087:	0.010466477272727	0.015361931818182	0.073247727272727	0.013592045454545	0.006066477272727	0.007573863636364	0.821815340909091	0.051876136363636		1
000088:	0.032635795454545	0.068938068181818	0.545557386363636	0.055581250000000	0.025656250000000	0.028356250000000	0.161952272727273	0.081322727272727		1
000089:	0.927928977272727	0.002126704545455	0.021000000000000	0.001015340909091	0.000872159090909	0.001402272727273	0.008030681818182	0.037623863636364		1
000090:	0.084824431818182	0.321148295454545	0.055461931818182	0.126427272727273	0.016218181818182	0.020107954545455	0.335306818181818	0.040505113636364		1
000091:	0.112659659090909	0.273166477272727	0.085996022727273	0.024147727272727	0.088994318181818	0.098586363636364	0.255572727272727	0.060876704545455		1
000092:	0.029511363636364	0.029309090909091	0.023309090909091	0.075795454545455	0.025736363636364	0.061560227272727	0.712698295454545	0.042080113636364		1
000093:	0.041507386363636	0.159777272727273	0.259246590909091	0.200964204545455	0.066853409090909	0.043768181818182	0.073276704545455	0.154606250000000		1
000094:	0.061629545454545	0.108315909090909	0.113635227272727	0.055442045454545	0.044578977272727	0.148764204545455	0.372918750000000	0.094715340909091		1
000095:	0.057796022727273	0.032608522727273	0.066947159090909	0.322755681818182	0.033260795454545	0.071877840909091	0.336176136363636	0.078577840909091		1
