Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	***Cluster  05***	
000076:	0.029301136363636	0.110613636363636	0.273105681818182	0.439840340909091	0.147139204545455		1
000077:	0.106554545454545	0.123275000000000	0.290401704545455	0.271933522727273	0.207835227272727		1
000078:	0.116766477272727	0.026565340909091	0.405998863636364	0.094525000000000	0.356144318181818		1
000079:	0.065924431818182	0.101567045454545	0.635157386363636	0.066139204545455	0.131211931818182		1
000080:	0.024043750000000	0.222274431818182	0.556254545454545	0.075227272727273	0.122200000000000		1
000081:	0.041096590909091	0.021178977272727	0.380611931818182	0.043468181818182	0.513644318181818		1
000082:	0.068077272727273	0.029994886363636	0.376704545454545	0.052060227272727	0.473163068181818		1
000083:	0.021905113636364	0.094423295454545	0.516434090909091	0.070400000000000	0.296837500000000		1
000084:	0.912511363636364	0.015981250000000	0.031078977272727	0.014181250000000	0.026247159090909		1
000085:	0.118469318181818	0.035884659090909	0.613526704545455	0.085046022727273	0.147073295454545		1
000086:	0.408622727272727	0.092875568181818	0.242809090909091	0.061099431818182	0.194593181818182		1
000087:	0.043856250000000	0.030953409090909	0.715204545454545	0.017929545454545	0.192056250000000		1
000088:	0.035677840909091	0.046819318181818	0.837285227272727	0.030657954545455	0.049559659090909		1
000089:	0.047005681818182	0.037492613636364	0.781158522727273	0.058450000000000	0.075893181818182		1
000090:	0.173045454545455	0.288214772727273	0.402138068181818	0.030508522727273	0.106093181818182		1
000091:	0.054883522727273	0.234575000000000	0.373259659090909	0.244328977272727	0.092952840909091		1
000092:	0.077330681818182	0.089923295454545	0.537888068181818	0.039614772727273	0.255243181818182		1
000093:	0.065711931818182	0.156357386363636	0.417395454545455	0.065331250000000	0.295203977272727		1
000094:	0.051936931818182	0.115491477272727	0.622967045454546	0.069096590909091	0.140507954545455		1
000095:	0.093927840909091	0.040498295454545	0.262687500000000	0.050795454545455	0.552090909090909		1
000096:	0.844845454545455	0.013522159090909	0.059212500000000	0.009467045454545	0.072952840909091		1
000097:	0.038239204545455	0.029657386363636	0.847207954545455	0.025759659090909	0.059135795454545		1
000098:	0.020597159090909	0.040476704545455	0.726034659090909	0.023560795454545	0.189330681818182		1
000099:	0.374606250000000	0.060548295454545	0.387362500000000	0.057256250000000	0.120226704545455		1
000100:	0.002146022727273	0.144083522727273	0.849125568181818	0.001072159090909	0.003572727272727		1
000101:	0.064258522727273	0.020457954545455	0.792765340909091	0.017027272727273	0.105490909090909		1
000102:	0.200800568181818	0.063972159090909	0.502684659090909	0.028387500000000	0.204155113636364		1
000103:	0.069826136363636	0.217530681818182	0.364398295454545	0.088708522727273	0.259536363636364		1
