Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	***Cluster  05***	***Cluster  06***	***Cluster  07***	
000019:	0.130524431818182	0.020066477272727	0.109225568181818	0.067690340909091	0.035889772727273	0.501666477272727	0.134936931818182		1
000020:	0.119965909090909	0.048914772727273	0.249327840909091	0.387721590909091	0.066526704545455	0.055211363636364	0.072331818181818		1
000021:	0.034961363636364	0.053898295454545	0.581015340909091	0.052334659090909	0.090423863636364	0.136138068181818	0.051228409090909		1
000022:	0.043892613636364	0.014109090909091	0.095053977272727	0.095388636363636	0.070022727272727	0.654545454545455	0.026987500000000		1
000023:	0.052614204545455	0.047713636363636	0.142289204545455	0.085142613636364	0.049553977272727	0.458192045454545	0.164494318181818		1
000024:	0.029827840909091	0.013195454545455	0.033636363636364	0.862751136363636	0.028253977272727	0.013084090909091	0.019251136363636		1
000025:	0.074625000000000	0.030406250000000	0.049876136363636	0.232745454545455	0.251014772727273	0.193031250000000	0.168301136363636		1
000026:	0.956934090909091	0.001334090909091	0.011709659090909	0.002139204545455	0.018417045454545	0.004693181818182	0.004772727272727		1
000027:	0.058316477272727	0.044229545454545	0.454269318181818	0.057400000000000	0.203325000000000	0.105122727272727	0.077336931818182		1
000028:	0.123598863636364	0.124249431818182	0.317861363636364	0.136977272727273	0.042926704545455	0.183024431818182	0.071361931818182		1
000029:	0.136850568181818	0.064957386363636	0.321447727272727	0.152803409090909	0.096277840909091	0.125048295454545	0.102614772727273		1
000030:	0.065076704545455	0.039306818181818	0.082665340909091	0.173005113636364	0.045311363636364	0.424762500000000	0.169872159090909		1
000031:	0.036364772727273	0.021217613636364	0.055530681818182	0.036034090909091	0.717610795454545	0.081655681818182	0.051586363636364		1
000032:	0.018676704545455	0.013219318181818	0.812952840909091	0.029314204545455	0.056494318181818	0.049280681818182	0.020061931818182		1
000033:	0.055731250000000	0.106813068181818	0.282184659090909	0.086085227272727	0.044396022727273	0.362354545454545	0.062435227272727		1
000034:	0.016136931818182	0.010189772727273	0.031578409090909	0.885128977272727	0.017532386363636	0.022973863636364	0.016459659090909		1
000035:	0.096294318181818	0.104534659090909	0.239853409090909	0.074936363636364	0.162548295454545	0.148536931818182	0.173296022727273		1
000036:	0.220119886363636	0.103374431818182	0.369390340909091	0.112709090909091	0.101134090909091	0.046569886363636	0.046702272727273		1
000037:	0.105492613636364	0.023648295454545	0.404126136363636	0.091714772727273	0.117646590909091	0.180295454545455	0.077076136363636		1
000038:	0.126505113636364	0.209178409090909	0.088039772727273	0.115649431818182	0.068397727272727	0.150413636363636	0.241815909090909		1
000039:	0.061617613636364	0.048877272727273	0.159853409090909	0.118747727272727	0.285036931818182	0.235113636363636	0.090753409090909		1
000040:	0.062421590909091	0.022885227272727	0.050250000000000	0.699910795454545	0.044937500000000	0.036564204545455	0.083030681818182		1
000041:	0.211486363636364	0.020143750000000	0.351007386363636	0.161448863636364	0.134081818181818	0.081348295454545	0.040483522727273		1
000042:	0.069014204545455	0.029779545454545	0.127822159090909	0.297618181818182	0.213180681818182	0.109414204545455	0.153171022727273		1
000043:	0.131177272727273	0.018470454545455	0.501789204545455	0.150051704545455	0.021909090909091	0.136454545454545	0.040147727272727		1
000044:	0.179138636363636	0.026619886363636	0.263667045454545	0.108079545454545	0.078034659090909	0.296555113636364	0.047905113636364		1
000045:	0.067317045454545	0.027713068181818	0.273753977272727	0.033516477272727	0.392505113636364	0.126705681818182	0.078488636363636		1
000046:	0.108545454545455	0.133550000000000	0.077030681818182	0.064265909090909	0.276585227272727	0.302556818181818	0.037465909090909		1
000047:	0.273723863636364	0.051403977272727	0.319206818181818	0.185928977272727	0.093027840909091	0.030024431818182	0.046684090909091		1
000048:	0.602054545454546	0.034297159090909	0.148294886363636	0.055859090909091	0.022932386363636	0.103922727272727	0.032639204545455		1
000049:	0.177727272727273	0.032411931818182	0.154443750000000	0.059424431818182	0.019968750000000	0.517944318181818	0.038079545454545		1
000050:	0.134850000000000	0.050614204545455	0.075669886363636	0.431181250000000	0.023553977272727	0.244584090909091	0.039546590909091		1
000051:	0.800783522727273	0.128450000000000	0.009422159090909	0.027173295454545	0.005332954545455	0.025017045454545	0.003821022727273		1
000052:	0.099450000000000	0.025546022727273	0.021600000000000	0.750544886363636	0.017834090909091	0.066930113636364	0.018094886363636		1
000053:	0.185336931818182	0.043887500000000	0.114135227272727	0.083618181818182	0.051344886363636	0.443946022727273	0.077731250000000		1
000054:	0.026376136363636	0.040151704545455	0.297650568181818	0.437643750000000	0.170305681818182	0.007146590909091	0.020725568181818		1
000055:	0.433148295454545	0.043947727272727	0.055014772727273	0.124741477272727	0.027978977272727	0.296836363636364	0.018332386363636		1
000056:	0.272819886363636	0.026205681818182	0.049255681818182	0.038240909090909	0.050710227272727	0.537914204545455	0.024853409090909		1
000057:	0.298200568181818	0.058423295454545	0.275218181818182	0.056274431818182	0.070878977272727	0.204433522727273	0.036571022727273		1
000058:	0.167378409090909	0.014742045454545	0.015779545454545	0.026693181818182	0.004537500000000	0.007198863636364	0.763670454545455		1
000059:	0.099055681818182	0.032826136363636	0.201711931818182	0.029150000000000	0.114175568181818	0.478021590909091	0.045059090909091		1
000060:	0.071959659090909	0.022838068181818	0.027696022727273	0.026665340909091	0.035003409090909	0.808227272727273	0.007610227272727		1
000061:	0.093428409090909	0.055610227272727	0.496716477272727	0.030866477272727	0.012259090909091	0.271736363636364	0.039382954545455		1
000062:	0.235797159090909	0.021796590909091	0.042056250000000	0.617936363636364	0.027469318181818	0.046479545454545	0.008464772727273		1
000063:	0.105971590909091	0.028768181818182	0.015393181818182	0.785964772727273	0.015155681818182	0.032610227272727	0.016136363636364		1
000064:	0.166356250000000	0.086992045454545	0.035130681818182	0.584620454545455	0.019092613636364	0.083607386363636	0.024200568181818		1
000065:	0.263824431818182	0.040178409090909	0.043772727272727	0.062253409090909	0.026450000000000	0.532878977272727	0.030642045454545		1
000066:	0.226809090909091	0.036792613636364	0.222848295454545	0.077770454545455	0.085585795454545	0.323471590909091	0.026722159090909		1
000067:	0.346340340909091	0.037935227272727	0.023904545454545	0.539581818181818	0.013022727272727	0.025240340909091	0.013975000000000		1
000068:	0.099139772727273	0.018346022727273	0.151505681818182	0.048630113636364	0.048407386363636	0.615582386363636	0.018388636363636		1
000069:	0.159188636363636	0.024281818181818	0.279539204545455	0.067702840909091	0.040063636363636	0.398728409090909	0.030495454545455		1
000070:	0.204611931818182	0.060867613636364	0.118271022727273	0.260559659090909	0.065895454545455	0.232074431818182	0.057719886363636		1
000071:	0.025063636363636	0.020805681818182	0.270476136363636	0.029941477272727	0.015297159090909	0.582072727272727	0.056343181818182		1
000072:	0.774731250000000	0.025296590909091	0.046432954545455	0.032325568181818	0.008454545454545	0.101189772727273	0.011569318181818		1
000073:	0.408650000000000	0.038106818181818	0.072657954545455	0.067039204545455	0.029929545454545	0.324177272727273	0.059439204545455		1
000074:	0.005622159090909	0.004934090909091	0.003396022727273	0.167084090909091	0.797967045454545	0.010605681818182	0.010390909090909		1
000075:	0.180918181818182	0.049584090909091	0.280828409090909	0.084944886363636	0.056147727272727	0.145272727272727	0.202303977272727		1
000076:	0.091115909090909	0.487652840909091	0.072917045454545	0.067749431818182	0.034700568181818	0.164374431818182	0.081489772727273		1
000077:	0.090135795454545	0.219840909090909	0.096479545454545	0.047222727272727	0.075760795454545	0.431812500000000	0.038747727272727		1
000078:	0.354125000000000	0.067915340909091	0.259921590909091	0.138736363636364	0.036711931818182	0.118468750000000	0.024121022727273		1
000079:	0.083303977272727	0.051727840909091	0.297006818181818	0.066886363636364	0.036446590909091	0.360820454545455	0.103807954545455		1
000080:	0.073416477272727	0.028571590909091	0.401376136363636	0.029835227272727	0.060031250000000	0.184201136363636	0.222568181818182		1
000081:	0.315123295454545	0.047778977272727	0.200488068181818	0.048831818181818	0.025672727272727	0.334641477272727	0.027463636363636		1
000082:	0.126767613636364	0.044296590909091	0.041994886363636	0.054137500000000	0.024029545454545	0.692336363636364	0.016437500000000		1
000083:	0.172039204545455	0.034931250000000	0.233927272727273	0.080064204545455	0.032582386363636	0.414459090909091	0.031996590909091		1
000084:	0.067040340909091	0.010627272727273	0.011770454545455	0.875203977272727	0.007781818181818	0.011298295454545	0.016277840909091		1
000085:	0.232188636363636	0.054508522727273	0.186116477272727	0.335327840909091	0.076407954545455	0.074615340909091	0.040835227272727		1
000086:	0.195558522727273	0.056967613636364	0.132661931818182	0.356998295454545	0.069644318181818	0.102604545454545	0.085564772727273		1
000087:	0.087596022727273	0.040711363636364	0.260759090909091	0.050682954545455	0.047109090909091	0.481026136363636	0.032115340909091		1
000088:	0.049575000000000	0.018035795454545	0.325226704545455	0.030118181818182	0.085597159090909	0.449201704545455	0.042245454545455		1
000089:	0.008240909090909	0.080265909090909	0.009493181818182	0.002975000000000	0.891977840909091	0.005133522727273	0.001913636363636		1
000090:	0.113096590909091	0.027518181818182	0.057726136363636	0.095638636363636	0.397665340909091	0.253595454545455	0.054759659090909		1
000091:	0.058522159090909	0.125600000000000	0.076269318181818	0.053541477272727	0.104255681818182	0.274069318181818	0.307742045454545		1
000092:	0.033141477272727	0.007229545454545	0.011272727272727	0.017092045454545	0.015442613636364	0.907992045454545	0.007829545454545		1
000093:	0.226378409090909	0.096581250000000	0.175914772727273	0.049568181818182	0.213912500000000	0.183701136363636	0.053943750000000		1
000094:	0.136225568181818	0.069894318181818	0.129445454545455	0.078621590909091	0.070685795454545	0.402838636363636	0.112288636363636		1
000095:	0.055013068181818	0.143194886363636	0.014997727272727	0.019296590909091	0.008231818181818	0.749556818181818	0.009709090909091		1
000096:	0.235894886363636	0.051287500000000	0.037921590909091	0.566111931818182	0.022207386363636	0.071153409090909	0.015423295454545		1
000097:	0.056709090909091	0.016482954545455	0.088978977272727	0.026977840909091	0.037794886363636	0.757827840909091	0.015228409090909		1
000098:	0.049505113636364	0.013359659090909	0.074562500000000	0.018928409090909	0.038044318181818	0.791915340909091	0.013684659090909		1
000099:	0.156378409090909	0.055911931818182	0.149138636363636	0.253519318181818	0.048039772727273	0.298910227272727	0.038101704545455		1
000100:	0.401435227272727	0.285293750000000	0.016336363636364	0.128038068181818	0.136438068181818	0.024661363636364	0.007797159090909		1
000101:	0.096206250000000	0.016096590909091	0.704675000000000	0.090573295454545	0.035686363636364	0.042001136363636	0.014761363636364		1
000102:	0.210167045454545	0.042596022727273	0.320129545454545	0.189409090909091	0.078553409090909	0.130385227272727	0.028759659090909		1
000103:	0.119221590909091	0.054122159090909	0.188050000000000	0.047087500000000	0.048208522727273	0.337278409090909	0.206031818181818		1
000104:	0.274876136363636	0.017986363636364	0.037881818181818	0.563717613636364	0.023192045454545	0.064709659090909	0.017636363636364		1
000105:	0.087313068181818	0.026456818181818	0.249296022727273	0.237427840909091	0.154921022727273	0.192946022727273	0.051639204545455		1
000106:	0.011197727272727	0.001084659090909	0.018452272727273	0.001852840909091	0.003006250000000	0.001811363636364	0.962594886363636		1
000107:	0.221784090909091	0.028974431818182	0.179079545454545	0.385973863636364	0.035950000000000	0.126199431818182	0.022038636363636		1
000108:	0.066669318181818	0.017813636363636	0.044826136363636	0.784522159090909	0.032909659090909	0.025081250000000	0.028177840909091		1
000109:	0.128696590909091	0.050259659090909	0.456705113636364	0.059169318181818	0.087550000000000	0.160305113636364	0.057314204545455		1
000110:	0.060956818181818	0.043545454545455	0.046491477272727	0.134316477272727	0.072123863636364	0.178821590909091	0.463744318181818		1
000111:	0.194337500000000	0.077025000000000	0.096982386363636	0.439134090909091	0.052406250000000	0.102968181818182	0.037146590909091		1
000112:	0.072252272727273	0.043025568181818	0.536819886363636	0.125353977272727	0.100175568181818	0.031775568181818	0.090597159090909		1
000113:	0.225590909090909	0.058373295454545	0.117139772727273	0.146826136363636	0.051260795454545	0.376467613636364	0.024341477272727		1
000114:	0.064492045454545	0.105530113636364	0.078328977272727	0.028960795454545	0.077551136363636	0.602114772727273	0.043022159090909		1
000115:	0.182011931818182	0.042646590909091	0.092704545454545	0.056083522727273	0.063061363636364	0.521609659090909	0.041882386363636		1
000116:	0.191510795454545	0.353657954545455	0.031672727272727	0.096294318181818	0.238412500000000	0.062302272727273	0.026149431818182		1
000117:	0.163538636363636	0.070314204545455	0.449063636363636	0.052360795454545	0.117755113636364	0.111593181818182	0.035374431818182		1
000118:	0.441994886363636	0.055942613636364	0.061615340909091	0.284622159090909	0.028787500000000	0.106798295454545	0.020239204545455		1
000119:	0.070407954545455	0.022231250000000	0.220697159090909	0.077828409090909	0.064120454545455	0.501813068181818	0.042901704545455		1
000120:	0.653735227272727	0.046644318181818	0.089223295454545	0.115301136363636	0.029860795454545	0.042640909090909	0.022594318181818		1
000121:	0.097273863636364	0.026747159090909	0.036561931818182	0.054181818181818	0.069466477272727	0.667971590909091	0.047797159090909		1
000122:	0.121576136363636	0.019856250000000	0.132603409090909	0.028048863636364	0.111243181818182	0.568027840909091	0.018644318181818		1
000123:	0.112968750000000	0.038806818181818	0.046317613636364	0.038434090909091	0.023851136363636	0.680746590909091	0.058875000000000		1
000124:	0.080536363636364	0.056685795454545	0.485403977272727	0.051573295454545	0.045791477272727	0.186811931818182	0.093197159090909		1
000125:	0.433580113636364	0.166476704545455	0.079238068181818	0.219273863636364	0.023521590909091	0.052077840909091	0.025831818181818		1
000126:	0.105209090909091	0.656874431818182	0.056769318181818	0.067959659090909	0.023326136363636	0.055184090909091	0.034677272727273		1
000127:	0.144096590909091	0.030351704545455	0.063219318181818	0.291055113636364	0.027361363636364	0.421880681818182	0.022035227272727		1
000128:	0.383346022727273	0.037542045454545	0.126385795454545	0.137919886363636	0.033463636363636	0.230588636363636	0.050753977272727		1
000129:	0.045744886363636	0.010225568181818	0.180633522727273	0.020049431818182	0.066335227272727	0.150968181818182	0.526043181818182		1
000130:	0.188474431818182	0.042603409090909	0.040664772727273	0.107231818181818	0.019811931818182	0.476640340909091	0.124573295454545		1
000131:	0.136896590909091	0.028244886363636	0.107861931818182	0.056711931818182	0.138869886363636	0.497660227272727	0.033754545454545		1
000132:	0.104850568181818	0.069734659090909	0.043948863636364	0.731877840909091	0.020474431818182	0.021502840909091	0.007610795454545		1
000133:	0.178142613636364	0.145716477272727	0.108228409090909	0.096794318181818	0.063439204545455	0.145444318181818	0.262234659090909		1
000134:	0.107249431818182	0.039554545454545	0.081805681818182	0.232147727272727	0.047897727272727	0.373323863636364	0.118021022727273		1
000135:	0.059389772727273	0.012957386363636	0.068165340909091	0.019625568181818	0.503912500000000	0.302206250000000	0.033743181818182		1
000136:	0.257245454545455	0.067031818181818	0.076014204545455	0.064140340909091	0.031752272727273	0.448698295454545	0.055117613636364		1
000137:	0.059423295454545	0.063056818181818	0.104073295454545	0.050140340909091	0.104671022727273	0.556770454545455	0.061864772727273		1
000138:	0.145651136363636	0.050464772727273	0.146594318181818	0.047711363636364	0.028762500000000	0.472763636363636	0.108052272727273		1
000139:	0.232489204545455	0.064282386363636	0.343181818181818	0.073746590909091	0.035441477272727	0.169674431818182	0.081184090909091		1
000140:	0.068847727272727	0.028968181818182	0.065097727272727	0.067580681818182	0.206205681818182	0.070345454545455	0.492954545454545		1
