Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	
000001:	0.510762500000000	0.334146590909091	0.039633522727273	0.115457386363636		1
000002:	0.762261931818182	0.135210227272727	0.024163636363636	0.078364204545455		1
000003:	0.687029545454545	0.222000568181818	0.028096590909091	0.062873295454545		1
000004:	0.097289204545455	0.053134090909091	0.014878409090909	0.834698295454545		1
000005:	0.337518750000000	0.573092613636364	0.015325000000000	0.074063636363636		1
000006:	0.091501704545455	0.091980681818182	0.050419318181818	0.766098295454545		1
000007:	0.771081250000000	0.140901704545455	0.019652840909091	0.068364204545455		1
000008:	0.681846590909091	0.176034090909091	0.038648863636364	0.103470454545455		1
000009:	0.306844886363636	0.247453409090909	0.036242613636364	0.409459090909091		1
000010:	0.327711931818182	0.519204545454545	0.036275568181818	0.116807954545455		1
000011:	0.469957954545455	0.344398295454545	0.035348295454545	0.150295454545455		1
000012:	0.037013068181818	0.727838636363636	0.107436363636364	0.127711931818182		1
000013:	0.041715340909091	0.221264204545455	0.551816477272727	0.185203977272727		1
000014:	0.022611931818182	0.026558522727273	0.014035795454545	0.936793750000000		1
000015:	0.113835227272727	0.560320454545455	0.023475568181818	0.302368750000000		1
000016:	0.036533522727273	0.023943750000000	0.008602840909091	0.930919886363636		1
000017:	0.065820454545455	0.872263068181818	0.015772159090909	0.046144318181818		1
000018:	0.030209090909091	0.322363636363636	0.590198295454545	0.057228977272727		1
000019:	0.088362500000000	0.803116477272727	0.067392613636364	0.041128409090909		1
000020:	0.088166477272727	0.554801704545455	0.033740909090909	0.323290909090909		1
000021:	0.218319318181818	0.705086363636364	0.054744318181818	0.021850000000000		1
000022:	0.047082954545455	0.878481250000000	0.032390909090909	0.042044886363636		1
000023:	0.273319886363636	0.542264204545455	0.115663068181818	0.068752840909091		1
000024:	0.026385227272727	0.045399431818182	0.017499431818182	0.910715909090909		1
000025:	0.105404545454545	0.187844318181818	0.549871022727273	0.156880113636364		1
000026:	0.041982386363636	0.879940340909091	0.051426136363636	0.026651136363636		1
000027:	0.894202272727273	0.003067045454545	0.102492613636364	0.000238068181818		1
000028:	0.452427840909091	0.464186931818182	0.030408522727273	0.052976704545455		1
000029:	0.111748863636364	0.748669886363636	0.047971590909091	0.091609659090909		1
000030:	0.207929545454545	0.644138068181818	0.058293750000000	0.089638636363636		1
000031:	0.035471590909091	0.323584090909091	0.605632386363636	0.035311931818182		1
000032:	0.081134659090909	0.795841477272727	0.060477272727273	0.062546590909091		1
000033:	0.012334090909091	0.003313068181818	0.668486363636364	0.315866477272727		1
000034:	0.047428409090909	0.037868181818182	0.025139772727273	0.889563636363636		1
000035:	0.379002840909091	0.182072727272727	0.398855113636364	0.040069318181818		1
000036:	0.201336931818182	0.636856818181818	0.029446022727273	0.132360227272727		1
000037:	0.033531818181818	0.862079545454545	0.032296022727273	0.072092613636364		1
000038:	0.648090909090909	0.125727272727273	0.120380113636364	0.105801704545455		1
000039:	0.065726704545455	0.736038636363636	0.111497159090909	0.086737500000000		1
