Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	
000001:	0.099463636363636	0.900536363636364		1
000002:	0.023351136363636	0.976648863636364		1
000003:	0.046769318181818	0.953230681818182		1
000004:	0.023303409090909	0.976696590909091		1
000005:	0.029415340909091	0.970584659090909		1
000006:	0.081103409090909	0.918896590909091		1
000007:	0.015953409090909	0.984046590909091		1
000008:	0.024763068181818	0.975236931818182		1
000009:	0.028637500000000	0.971362500000000		1
000010:	0.055039772727273	0.944960227272727		1
000011:	0.539384659090909	0.460615340909091		1
000012:	0.913628977272727	0.086371022727273		1
000013:	0.939017045454545	0.060982954545455		1
000014:	0.570193750000000	0.429806250000000		1
000015:	0.548978409090909	0.451021590909091		1
000016:	0.377482954545455	0.622517045454545		1
000017:	0.713701136363636	0.286298863636364		1
000018:	0.946139204545455	0.053860795454545		1
000019:	0.829239772727273	0.170760227272727		1
000020:	0.806474431818182	0.193525568181818		1
000021:	0.908771590909091	0.091228409090909		1
000022:	0.932418750000000	0.067581250000000		1
000023:	0.878248863636364	0.121751136363636		1
000024:	0.804594886363636	0.195405113636364		1
000025:	0.943750000000000	0.056250000000000		1
000026:	0.953989772727273	0.046010227272727		1
000027:	0.963706250000000	0.036293750000000		1
000028:	0.612416477272727	0.387583522727273		1
000029:	0.897102840909091	0.102897159090909		1
000030:	0.798400568181818	0.201599431818182		1
000031:	0.965881250000000	0.034118750000000		1
000032:	0.933636363636364	0.066363636363636		1
000033:	0.860602840909091	0.139397159090909		1
000034:	0.823874431818182	0.176125568181818		1
000035:	0.917903409090909	0.082096590909091		1
000036:	0.786221022727273	0.213778977272727		1
000037:	0.960456818181818	0.039543181818182		1
000038:	0.713079545454545	0.286920454545455		1
000039:	0.964130113636364	0.035869886363636		1
000040:	0.790680681818182	0.209319318181818		1
000041:	0.917469318181818	0.082530681818182		1
000042:	0.956235795454545	0.043764204545455		1
000043:	0.670921022727273	0.329078977272727		1
000044:	0.849108522727273	0.150891477272727		1
000045:	0.956151704545455	0.043848295454545		1
000046:	0.747342613636364	0.252657386363636		1
000047:	0.626786931818182	0.373213068181818		1
000048:	0.172484659090909	0.827515340909091		1
000049:	0.597587500000000	0.402412500000000		1
000050:	0.622863068181818	0.377136931818182		1
000051:	0.102943181818182	0.897056818181818		1
000052:	0.124515909090909	0.875484090909091		1
000053:	0.650721022727273	0.349278977272727		1
000054:	0.819055113636364	0.180944886363636		1
000055:	0.250372727272727	0.749627272727273		1
000056:	0.524495454545455	0.475504545454545		1
000057:	0.637689204545455	0.362310795454545		1
000058:	0.759304545454546	0.240695454545455		1
