30000	5	1	
0	0	0	0	0	
0.36425	0.168548	0.460523	0.40851	0.230627	
0.55187	0.417811	0.521615	0.557108	0.475532	
0.599668	0.65735	0.665109	0.623925	0.586582	
0.565457	0.593328	0.725086	0.689371	0.634187	
0.592223	0.668889	0.78663	0.754664	0.766268	
0.737542	0.670794	0.750699	0.813537	0.733792	
0.694753	0.731325	0.724581	0.787706	0.785855	
0.689302	0.702223	0.703681	0.77477	0.834771	
0.790675	0.783619	0.814418	0.790484	0.771754	
0.756544	0.665864	0.842049	0.759407	0.863339	
0.839726	0.793531	0.755403	0.888973	0.885492	
0.802868	0.787319	0.815078	0.820621	0.849929	
0.7667	0.772801	0.862549	0.777999	0.862031	
0.733488	0.727989	0.826039	0.82456	0.84327	
0.740623	0.765706	0.946198	0.83436	0.877116	
0.861542	0.794092	0.838731	0.784386	0.874228	
0.786255	0.755013	0.92267	0.838055	0.863183	
0.784212	0.770369	0.904649	0.926477	0.839586	
0.785019	0.799357	0.818175	0.858272	0.840211	
0.733283	0.730761	0.890717	0.874478	0.908158	
0.782976	0.74655	0.954795	0.872312	0.859682	
0.731241	0.747393	0.936968	0.878103	0.848293	
0.888951	0.798466	0.904086	0.825804	0.716764	
0.784262	0.72032	0.890702	0.861482	0.883182	
0.744331	0.72523	0.855087	0.859475	0.834402	
0.768614	0.744244	0.858562	0.829266	0.896034	
0.755794	0.704213	0.861384	0.789304	0.816346	
0.726538	0.753899	0.847549	0.830541	0.908815	
0.785095	0.808871	0.916196	0.802882	0.853923	
0.773341	0.778603	0.845775	0.87561	0.823439	
0.691723	0.71627	0.893012	0.916789	0.812978	
0.753537	0.737533	0.818058	0.764088	0.827589	
0.850633	0.724316	0.844744	0.79958	0.882185	
0.773382	0.726572	0.806968	0.766993	0.913781	
0.736464	0.747542	0.865536	0.925837	0.817735	
0.750673	0.649197	0.800834	0.786894	0.843435	
0.757924	0.768852	0.771033	0.814959	0.750255	
0.650559	0.749309	0.77242	0.854615	0.713686	
0.756398	0.657741	0.764613	0.889203	0.715422	
0.755826	0.809193	0.79193	0.830134	0.748934	
0.716834	0.698904	0.839576	0.752695	0.709277	
0.76483	0.756747	0.810528	0.792063	0.75733	
0.673516	0.740004	0.749009	0.808161	0.790278	
