Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	
000088:	0.051180681818182	0.948819318181818		1
000089:	0.082193750000000	0.917806250000000		1
000090:	0.052369886363636	0.947630113636364		1
000091:	0.110326136363636	0.889673863636364		1
000092:	0.215472159090909	0.784527840909091		1
000093:	0.231329545454545	0.768670454545455		1
000094:	0.079988068181818	0.920011931818182		1
000095:	0.932880681818182	0.067119318181818		1
000096:	0.973993750000000	0.026006250000000		1
000097:	0.040002840909091	0.959997159090909		1
000098:	0.079401704545455	0.920598295454545		1
000099:	0.680780113636364	0.319219886363636		1
000100:	0.965059659090909	0.034940340909091		1
000101:	0.134910795454545	0.865089204545455		1
000102:	0.260938068181818	0.739061931818182		1
000103:	0.407921022727273	0.592078977272727		1
000104:	0.954684090909091	0.045315909090909		1
000105:	0.049028977272727	0.950971022727273		1
000106:	0.115483522727273	0.884516477272727		1
000107:	0.649274431818182	0.350725568181818		1
000108:	0.895107954545455	0.104892045454545		1
000109:	0.161155113636364	0.838844886363636		1
000110:	0.156015340909091	0.843984659090909		1
000111:	0.896677840909091	0.103322159090909		1
000112:	0.216852272727273	0.783147727272727		1
000113:	0.582643750000000	0.417356250000000		1
000114:	0.244236931818182	0.755763068181818		1
000115:	0.347769886363636	0.652230113636364		1
000116:	0.906362500000000	0.093637500000000		1
000117:	0.264511363636364	0.735488636363636		1
000118:	0.955740340909091	0.044259659090909		1
000119:	0.089678409090909	0.910321590909091		1
000120:	0.774119318181818	0.225880681818182		1
000121:	0.195296590909091	0.804703409090909		1
000122:	0.059196590909091	0.940803409090909		1
000123:	0.968139772727273	0.031860227272727		1
000124:	0.341844318181818	0.658155681818182		1
000125:	0.972427840909091	0.027572159090909		1
000126:	0.980649431818182	0.019350568181818		1
000127:	0.647575568181818	0.352424431818182		1
000128:	0.901889772727273	0.098110227272727		1
000129:	0.025835227272727	0.974164772727273		1
000130:	0.729313636363636	0.270686363636364		1
000131:	0.261634090909091	0.738365909090909		1
000132:	0.949294318181818	0.050705681818182		1
000133:	0.697304545454545	0.302695454545455		1
000134:	0.282261931818182	0.717738068181818		1
000135:	0.021152840909091	0.978847159090909		1
000136:	0.728273295454545	0.271726704545455		1
000137:	0.036595454545455	0.963404545454545		1
000138:	0.765564772727273	0.234435227272727		1
000139:	0.515219318181818	0.484780681818182		1
000140:	0.038773863636364	0.961226136363636		1
000141:	0.967753977272727	0.032246022727273		1
000142:	0.061709090909091	0.938290909090909		1
000143:	0.400239772727273	0.599760227272727		1
000144:	0.586219886363636	0.413780113636364		1
000145:	0.870203977272727	0.129796022727273		1
000146:	0.237902840909091	0.762097159090909		1
000147:	0.901649431818182	0.098350568181818		1
000148:	0.770340909090909	0.229659090909091		1
000149:	0.580363636363636	0.419636363636364		1
000150:	0.044601704545455	0.955398295454545		1
000151:	0.929821022727273	0.070178977272727		1
000152:	0.780209090909091	0.219790909090909		1
000153:	0.149964204545455	0.850035795454545		1
000154:	0.982504545454545	0.017495454545455		1
000155:	0.453269318181818	0.546730681818182		1
000156:	0.629646022727273	0.370353977272727		1
000157:	0.914367613636364	0.085632386363636		1
000158:	0.948645454545455	0.051354545454545		1
000159:	0.676607954545455	0.323392045454545		1
000160:	0.990801136363636	0.009198863636364		1
000161:	0.973015340909091	0.026984659090909		1
000162:	0.285250568181818	0.714749431818182		1
000163:	0.919699431818182	0.080300568181818		1
000164:	0.981368181818182	0.018631818181818		1
000165:	0.972092045454545	0.027907954545455		1
000166:	0.971478977272727	0.028521022727273		1
000167:	0.921527272727273	0.078472727272727		1
000168:	0.681360227272727	0.318639772727273		1
000169:	0.358406818181818	0.641593181818182		1
000170:	0.919398295454545	0.080601704545455		1
000171:	0.970626136363636	0.029373863636364		1
000172:	0.750999431818182	0.249000568181818		1
000173:	0.605889772727273	0.394110227272727		1
000174:	0.031146022727273	0.968853977272727		1
000175:	0.880104545454545	0.119895454545455		1
000176:	0.746586363636364	0.253413636363636		1
000177:	0.529557386363636	0.470442613636364		1
000178:	0.456813068181818	0.543186931818182		1
000179:	0.872465340909091	0.127534659090909		1
000180:	0.903692045454545	0.096307954545455		1
000181:	0.982015340909091	0.017984659090909		1
000182:	0.262905113636364	0.737094886363636		1
000183:	0.922532954545455	0.077467045454545		1
000184:	0.472682386363636	0.527317613636364		1
000185:	0.118084090909091	0.881915909090909		1
