Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	
000030:	0.041130681818182	0.046334659090909	0.911338636363636	0.001196022727273		1
000031:	0.687426704545455	0.253246022727273	0.031076704545455	0.028250568181818		1
000032:	0.110174431818182	0.768981818181818	0.065137500000000	0.055706250000000		1
000033:	0.031109090909091	0.812290340909091	0.034741477272727	0.121859090909091		1
000034:	0.014294886363636	0.041336931818182	0.916994318181818	0.027373863636364		1
000035:	0.385820454545455	0.159980681818182	0.023070454545455	0.431128409090909		1
000036:	0.049263636363636	0.723457386363636	0.073688068181818	0.153590909090909		1
000037:	0.078952840909091	0.841992613636364	0.048827840909091	0.030226704545455		1
000038:	0.093580681818182	0.206033522727273	0.079665340909091	0.620720454545455		1
000039:	0.238282954545455	0.613471022727273	0.093671022727273	0.054575000000000		1
000040:	0.034563068181818	0.050192613636364	0.875813068181818	0.039431250000000		1
000041:	0.087286931818182	0.749692045454545	0.110778409090909	0.052242613636364		1
000042:	0.526743750000000	0.298113068181818	0.107838068181818	0.067305113636364		1
000043:	0.027023863636364	0.779639204545455	0.109253409090909	0.084083522727273		1
000044:	0.041989204545455	0.851326136363636	0.058497159090909	0.048187500000000		1
000045:	0.323665909090909	0.632861363636364	0.017926136363636	0.025546590909091		1
000046:	0.599772727272727	0.153751704545455	0.064834659090909	0.181640909090909		1
000047:	0.240140340909091	0.417164204545455	0.137390909090909	0.205304545454545		1
000048:	0.253203977272727	0.448157386363636	0.229431250000000	0.069207386363636		1
000049:	0.037578977272727	0.849336363636364	0.041943750000000	0.071140909090909		1
000050:	0.129070454545455	0.499839204545455	0.240688636363636	0.130401704545455		1
000051:	0.017107386363636	0.039252272727273	0.915925568181818	0.027714772727273		1
000052:	0.015300000000000	0.037178409090909	0.897944318181818	0.049577272727273		1
000053:	0.117901704545455	0.663576704545455	0.140577840909091	0.077943750000000		1
000054:	0.729270454545455	0.166901136363636	0.037509090909091	0.066319318181818		1
000055:	0.021813068181818	0.666201136363636	0.263230113636364	0.048755681818182		1
000056:	0.041243750000000	0.859633522727273	0.068252840909091	0.030869886363636		1
000057:	0.077753977272727	0.767739204545455	0.107964204545455	0.046542613636364		1
000058:	0.055021022727273	0.906713068181818	0.012490340909091	0.025775568181818		1
000059:	0.057081250000000	0.912057954545455	0.013747159090909	0.017113636363636		1
000060:	0.011027840909091	0.930221590909091	0.030169318181818	0.028581250000000		1
000061:	0.018668750000000	0.909548295454545	0.042375000000000	0.029407954545455		1
000062:	0.011066477272727	0.048925000000000	0.906867045454545	0.033141477272727		1
000063:	0.011984659090909	0.025257954545455	0.934872727272727	0.027884659090909		1
000064:	0.009368750000000	0.031231250000000	0.881353409090909	0.078046590909091		1
000065:	0.019576136363636	0.805007954545455	0.048607954545455	0.126807954545455		1
000066:	0.031281818181818	0.897804545454545	0.047019318181818	0.023894318181818		1
000067:	0.011012500000000	0.028878409090909	0.907699431818182	0.052409659090909		1
000068:	0.059361931818182	0.901562500000000	0.013201704545455	0.025873863636364		1
000069:	0.022034659090909	0.910426704545454	0.034235795454545	0.033302840909091		1
000070:	0.149510227272727	0.493243181818182	0.240799431818182	0.116447159090909		1
000071:	0.037792613636364	0.917017613636364	0.014715909090909	0.030473863636364		1
000072:	0.029029545454545	0.780966477272727	0.083184090909091	0.106819886363636		1
000073:	0.015790340909091	0.895142613636364	0.056668181818182	0.032398863636364		1
000074:	0.629507954545454	0.168608522727273	0.163886363636364	0.037997159090909		1
000075:	0.000027840909091	0.951515340909091	0.048369318181818	0.000087500000000		1
000076:	0.211491477272727	0.213538636363636	0.017977840909091	0.556992045454546		1
000077:	0.148427272727273	0.331606250000000	0.050368750000000	0.469597727272727		1
000078:	0.017543750000000	0.793767045454545	0.050759659090909	0.137929545454545		1
000079:	0.062798295454545	0.838272159090909	0.038835227272727	0.060094318181818		1
000080:	0.199550568181818	0.723976704545455	0.014921590909091	0.061551136363636		1
000081:	0.013457386363636	0.935660227272727	0.021879545454545	0.029002840909091		1
000082:	0.019630681818182	0.862846022727273	0.050151136363636	0.067372159090909		1
000083:	0.029785795454545	0.913646022727273	0.014339772727273	0.042228409090909		1
000084:	0.016964772727273	0.016796022727273	0.944897159090909	0.021342045454545		1
