Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	***Cluster  05***	
000032:	0.060926704545455	0.039337500000000	0.066030113636364	0.037859659090909	0.795846022727273		1
000033:	0.167284090909091	0.082158522727273	0.071185795454545	0.057946022727273	0.621425568181818		1
000034:	0.028244886363636	0.012538636363636	0.872287500000000	0.024763636363636	0.062165340909091		1
000035:	0.082575000000000	0.084153409090909	0.043046022727273	0.217661363636364	0.572564204545455		1
000036:	0.144171022727273	0.060137500000000	0.172295454545455	0.049734090909091	0.573661931818182		1
000037:	0.078994886363636	0.022373295454545	0.125512500000000	0.064506250000000	0.708613068181818		1
000038:	0.104979545454545	0.356977272727273	0.145750000000000	0.274192613636364	0.118100568181818		1
000039:	0.073911363636364	0.021965909090909	0.115559090909091	0.367853977272727	0.420709659090909		1
000040:	0.030372159090909	0.015338068181818	0.858763636363636	0.049397159090909	0.046128977272727		1
000041:	0.102447159090909	0.038002840909091	0.211251136363636	0.061281818181818	0.587017045454545		1
000042:	0.067080681818182	0.035414772727273	0.136802272727273	0.233195454545455	0.527506818181818		1
000043:	0.455225000000000	0.065367045454545	0.121336931818182	0.048897159090909	0.309173863636364		1
000044:	0.240555113636364	0.038856250000000	0.134618181818182	0.077756818181818	0.508213636363636		1
000045:	0.068959090909091	0.019855681818182	0.036344886363636	0.138953409090909	0.735886931818182		1
000046:	0.124146590909091	0.178669886363636	0.062401704545455	0.236494318181818	0.398287500000000		1
000047:	0.291931818181818	0.092703409090909	0.151094318181818	0.134482954545455	0.329787500000000		1
000048:	0.794738068181818	0.046872727272727	0.059976136363636	0.036292045454545	0.062121022727273		1
000049:	0.636259090909091	0.037230681818182	0.080280681818182	0.055135227272727	0.191094318181818		1
000050:	0.203989772727273	0.047880681818182	0.355827272727273	0.072761363636364	0.319540909090909		1
000051:	0.099017613636364	0.020629545454545	0.847590909090909	0.008555113636364	0.024206818181818		1
000052:	0.056138068181818	0.010502272727273	0.895006250000000	0.011457386363636	0.026896022727273		1
000053:	0.254231818181818	0.040052840909091	0.132148863636364	0.105219886363636	0.468346590909091		1
000054:	0.144957954545455	0.063573295454545	0.100951704545455	0.455162500000000	0.235354545454545		1
000055:	0.663674431818182	0.030976704545455	0.174997159090909	0.026634090909091	0.103717613636364		1
000056:	0.441181250000000	0.048488068181818	0.124671022727273	0.058844318181818	0.326815340909091		1
000057:	0.262873863636364	0.064709090909091	0.132963636363636	0.051155113636364	0.488298295454545		1
000058:	0.425285227272727	0.046980113636364	0.023796590909091	0.276119886363636	0.227818181818182		1
000059:	0.190981250000000	0.040013068181818	0.029454545454545	0.086803977272727	0.652747159090909		1
000060:	0.565007386363636	0.043603409090909	0.100610795454545	0.032204545454545	0.258573863636364		1
000061:	0.536280681818182	0.036264772727273	0.076682386363636	0.040823295454545	0.309948863636364		1
000062:	0.133127272727273	0.018935795454545	0.760919318181818	0.050451704545455	0.036565909090909		1
000063:	0.200327272727273	0.025749431818182	0.718116477272727	0.022377272727273	0.033429545454545		1
000064:	0.222415909090909	0.095288068181818	0.633362500000000	0.015750000000000	0.033183522727273		1
000065:	0.751985227272727	0.041415340909091	0.072265340909091	0.029358522727273	0.104975568181818		1
000066:	0.263260227272727	0.034357386363636	0.096178409090909	0.035356818181818	0.570847159090909		1
000067:	0.266419886363636	0.040937500000000	0.621346590909091	0.016190340909091	0.055105681818182		1
000068:	0.262293181818182	0.030071022727273	0.034780113636364	0.081172159090909	0.591683522727273		1
000069:	0.202497159090909	0.034286931818182	0.092530681818182	0.026172727272727	0.644512500000000		1
000070:	0.216985795454545	0.073096590909091	0.459767045454545	0.049517045454545	0.200633522727273		1
000071:	0.130489772727273	0.057609659090909	0.029242045454545	0.054227840909091	0.728430681818182		1
000072:	0.620977272727273	0.062575000000000	0.116546590909091	0.036950000000000	0.162951136363636		1
000073:	0.720642613636364	0.034181818181818	0.058307386363636	0.047641477272727	0.139226704545455		1
000074:	0.143452272727273	0.031385795454545	0.199942045454545	0.257006818181818	0.368213068181818		1
000075:	0.314851136363636	0.056457954545455	0.075968750000000	0.151677272727273	0.401044886363636		1
000076:	0.160027272727273	0.395842613636364	0.034750568181818	0.163901136363636	0.245478409090909		1
000077:	0.255494318181818	0.272926136363636	0.081985227272727	0.184269886363636	0.205324431818182		1
000078:	0.658782386363636	0.058848295454545	0.097292613636364	0.027608522727273	0.157468181818182		1
000079:	0.199308522727273	0.094669886363636	0.070828409090909	0.222890340909091	0.412302840909091		1
000080:	0.150222159090909	0.067875000000000	0.030870454545455	0.345944318181818	0.405088068181818		1
000081:	0.697312500000000	0.035771590909091	0.042219318181818	0.027076136363636	0.197620454545455		1
000082:	0.668168750000000	0.043659090909091	0.074373295454545	0.034272727272727	0.179526136363636		1
000083:	0.549573295454545	0.041959090909091	0.024092613636364	0.056194886363636	0.328180113636364		1
