Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	
000001:	0.909584090909091	0.090415909090909		1
000002:	0.976090340909091	0.023909659090909		1
000003:	0.969257954545454	0.030742045454545		1
000004:	0.976809090909091	0.023190909090909		1
000005:	0.969107386363636	0.030892613636364		1
000006:	0.949171590909091	0.050828409090909		1
000007:	0.985459090909091	0.014540909090909		1
000008:	0.979926136363636	0.020073863636364		1
000009:	0.967199431818182	0.032800568181818		1
000010:	0.963892045454545	0.036107954545455		1
000011:	0.328948295454545	0.671051704545455		1
000012:	0.121634659090909	0.878365340909091		1
000013:	0.077480681818182	0.922519318181818		1
000014:	0.350307954545455	0.649692045454546		1
000015:	0.482747727272727	0.517252272727273		1
000016:	0.561121590909091	0.438878409090909		1
000017:	0.253238636363636	0.746761363636364		1
000018:	0.062788636363636	0.937211363636364		1
000019:	0.157970454545455	0.842029545454545		1
000020:	0.223200000000000	0.776800000000000		1
000021:	0.078529545454545	0.921470454545455		1
000022:	0.095848863636364	0.904151136363636		1
000023:	0.120509090909091	0.879490909090909		1
000024:	0.112922727272727	0.887077272727273		1
000025:	0.049186931818182	0.950813068181818		1
000026:	0.052252272727273	0.947747727272727		1
000027:	0.043615909090909	0.956384090909091		1
000028:	0.326855113636364	0.673144886363636		1
000029:	0.103478977272727	0.896521022727273		1
000030:	0.227228977272727	0.772771022727273		1
000031:	0.034860227272727	0.965139772727273		1
000032:	0.078059090909091	0.921940909090909		1
000033:	0.152348863636364	0.847651136363636		1
000034:	0.139263068181818	0.860736931818182		1
000035:	0.083873295454545	0.916126704545455		1
000036:	0.159460795454545	0.840539204545454		1
000037:	0.046940340909091	0.953059659090909		1
000038:	0.169139772727273	0.830860227272727		1
000039:	0.033796590909091	0.966203409090909		1
000040:	0.150465909090909	0.849534090909091		1
000041:	0.082981818181818	0.917018181818182		1
000042:	0.049990909090909	0.950009090909091		1
000043:	0.295270454545455	0.704729545454545		1
000044:	0.113794886363636	0.886205113636364		1
000045:	0.043859090909091	0.956140909090909		1
000046:	0.243215340909091	0.756784659090909		1
000047:	0.389677840909091	0.610322159090909		1
000048:	0.794953409090909	0.205046590909091		1
