Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	
000079:	0.129090909090909	0.870909090909091		1
000080:	0.052973295454545	0.947026704545455		1
000081:	0.824444318181818	0.175555681818182		1
000082:	0.785035795454545	0.214964204545455		1
000083:	0.485250000000000	0.514750000000000		1
000084:	0.946556250000000	0.053443750000000		1
000085:	0.585968750000000	0.414031250000000		1
000086:	0.806610227272727	0.193389772727273		1
000087:	0.080626704545455	0.919373295454545		1
000088:	0.069619318181818	0.930380681818182		1
000089:	0.105260795454545	0.894739204545455		1
000090:	0.056830113636364	0.943169886363636		1
000091:	0.100403977272727	0.899596022727273		1
000092:	0.299453977272727	0.700546022727273		1
000093:	0.209001704545455	0.790998295454545		1
000094:	0.107551704545455	0.892448295454545		1
000095:	0.934528409090909	0.065471590909091		1
000096:	0.974128409090909	0.025871590909091		1
000097:	0.024748863636364	0.975251136363636		1
000098:	0.083181250000000	0.916818750000000		1
000099:	0.437902840909091	0.562097159090909		1
000100:	0.938567045454546	0.061432954545455		1
000101:	0.149185795454545	0.850814204545455		1
000102:	0.258436363636364	0.741563636363636		1
000103:	0.464379545454545	0.535620454545455		1
000104:	0.917500568181818	0.082499431818182		1
000105:	0.076802840909091	0.923197159090909		1
000106:	0.079952272727273	0.920047727272727		1
000107:	0.648377272727273	0.351622727272727		1
000108:	0.725852840909091	0.274147159090909		1
000109:	0.150491477272727	0.849508522727273		1
000110:	0.321951704545455	0.678048295454545		1
000111:	0.886459090909091	0.113540909090909		1
000112:	0.140700000000000	0.859300000000000		1
000113:	0.552171022727273	0.447828977272727		1
000114:	0.319768750000000	0.680231250000000		1
000115:	0.326632386363636	0.673367613636364		1
000116:	0.921246022727273	0.078753977272727		1
000117:	0.228967045454545	0.771032954545455		1
000118:	0.965788068181818	0.034211931818182		1
000119:	0.047706818181818	0.952293181818182		1
000120:	0.852393750000000	0.147606250000000		1
000121:	0.202979545454545	0.797020454545455		1
000122:	0.103950000000000	0.896050000000000		1
000123:	0.863189772727273	0.136810227272727		1
000124:	0.398934090909091	0.601065909090909		1
000125:	0.961166477272727	0.038833522727273		1
000126:	0.982827840909091	0.017172159090909		1
000127:	0.661974431818182	0.338025568181818		1
000128:	0.872754545454545	0.127245454545455		1
000129:	0.032774431818182	0.967225568181818		1
000130:	0.820217613636364	0.179782386363636		1
000131:	0.220526704545455	0.779473295454545		1
000132:	0.778065909090909	0.221934090909091		1
000133:	0.696067613636364	0.303932386363636		1
000134:	0.087116477272727	0.912883522727273		1
000135:	0.021649431818182	0.978350568181818		1
000136:	0.809545454545455	0.190454545454545		1
000137:	0.021820454545455	0.978179545454545		1
000138:	0.733159090909091	0.266840909090909		1
000139:	0.598473863636364	0.401526136363636		1
000140:	0.031251136363636	0.968748863636364		1
000141:	0.971623863636364	0.028376136363636		1
000142:	0.056032386363636	0.943967613636364		1
000143:	0.450026136363636	0.549973863636364		1
000144:	0.388280681818182	0.611719318181818		1
000145:	0.901559090909091	0.098440909090909		1
000146:	0.212352272727273	0.787647727272727		1
000147:	0.927293181818182	0.072706818181818		1
000148:	0.901543181818182	0.098456818181818		1
000149:	0.593518181818182	0.406481818181818		1
000150:	0.057518750000000	0.942481250000000		1
000151:	0.903861931818182	0.096138068181818		1
000152:	0.716585227272727	0.283414772727273		1
000153:	0.126769318181818	0.873230681818182		1
000154:	0.982799431818182	0.017200568181818		1
000155:	0.574393181818182	0.425606818181818		1
000156:	0.574792045454545	0.425207954545455		1
000157:	0.932347159090909	0.067652840909091		1
000158:	0.774224431818182	0.225775568181818		1
000159:	0.614624431818182	0.385375568181818		1
000160:	0.989088068181818	0.010911931818182		1
000161:	0.978478409090909	0.021521590909091		1
000162:	0.254878977272727	0.745121022727273		1
000163:	0.881258522727273	0.118741477272727		1
000164:	0.989007386363636	0.010992613636364		1
000165:	0.973029545454545	0.026970454545455		1
000166:	0.969775000000000	0.030225000000000		1
000167:	0.924109090909091	0.075890909090909		1
000168:	0.717528409090909	0.282471590909091		1
000169:	0.314757386363636	0.685242613636364		1
000170:	0.890764772727273	0.109235227272727		1
000171:	0.944698295454545	0.055301704545455		1
000172:	0.740141477272727	0.259858522727273		1
000173:	0.662753977272727	0.337246022727273		1
000174:	0.053494318181818	0.946505681818182		1
000175:	0.899401704545455	0.100598295454545		1
000176:	0.608407954545455	0.391592045454545		1
000177:	0.261882954545455	0.738117045454545		1
000178:	0.499659659090909	0.500340340909091		1
000179:	0.952076136363636	0.047923863636364		1
000180:	0.811672727272727	0.188327272727273		1
000181:	0.983218750000000	0.016781250000000		1
000182:	0.298914204545455	0.701085795454545		1
000183:	0.958959090909091	0.041040909090909		1
000184:	0.743227272727273	0.256772727272727		1
000185:	0.143283522727273	0.856716477272727		1
000186:	0.921625000000000	0.078375000000000		1
000187:	0.984705113636364	0.015294886363636		1
000188:	0.966586363636364	0.033413636363636		1
000189:	0.882192045454545	0.117807954545455		1
000190:	0.847830113636364	0.152169886363636		1
000191:	0.501552840909091	0.498447159090909		1
000192:	0.128097159090909	0.871902840909091		1
000193:	0.236866477272727	0.763133522727273		1
000194:	0.575019886363636	0.424980113636364		1
000195:	0.108432954545455	0.891567045454545		1
000196:	0.978892613636364	0.021107386363636		1
000197:	0.813010227272727	0.186989772727273		1
000198:	0.260084090909091	0.739915909090909		1
000199:	0.953752272727273	0.046247727272727		1
000200:	0.970481250000000	0.029518750000000		1
000201:	0.917931818181818	0.082068181818182		1
000202:	0.446335795454545	0.553664204545455		1
000203:	0.969485795454545	0.030514204545455		1
000204:	0.973534659090909	0.026465340909091		1
000205:	0.876961931818182	0.123038068181818		1
000206:	0.561993750000000	0.438006250000000		1
000207:	0.763370454545454	0.236629545454545		1
000208:	0.888501136363636	0.111498863636364		1
000209:	0.913521022727273	0.086478977272727		1
000210:	0.907667045454545	0.092332954545455		1
000211:	0.935776136363636	0.064223863636364		1
000212:	0.973122727272727	0.026877272727273		1
000213:	0.984643181818182	0.015356818181818		1
000214:	0.956874431818182	0.043125568181818		1
000215:	0.592456818181818	0.407543181818182		1
000216:	0.962635227272727	0.037364772727273		1
000217:	0.945566477272727	0.054433522727273		1
000218:	0.957002840909091	0.042997159090909		1
000219:	0.985775568181818	0.014224431818182		1
000220:	0.986049431818182	0.013950568181818		1
000221:	0.981713068181818	0.018286931818182		1
000222:	0.983016477272727	0.016983522727273		1
000223:	0.460861363636364	0.539138636363636		1
000224:	0.027466477272727	0.972533522727273		1
000225:	0.031368181818182	0.968631818181818		1
000226:	0.552600000000000	0.447400000000000		1
000227:	0.050502272727273	0.949497727272727		1
000228:	0.256313636363636	0.743686363636364		1
000229:	0.179405681818182	0.820594318181818		1
000230:	0.960975568181818	0.039024431818182		1
000231:	0.085694886363636	0.914305113636364		1
000232:	0.920652272727273	0.079347727272727		1
000233:	0.069490340909091	0.930509659090909		1
000234:	0.031796022727273	0.968203977272727		1
000235:	0.029089204545455	0.970910795454546		1
000236:	0.838069318181818	0.161930681818182		1
000237:	0.028822727272727	0.971177272727273		1
000238:	0.878392613636364	0.121607386363636		1
000239:	0.331831818181818	0.668168181818182		1
000240:	0.940993181818182	0.059006818181818		1
000241:	0.508246022727273	0.491753977272727		1
000242:	0.029526136363636	0.970473863636364		1
000243:	0.681662500000000	0.318337500000000		1
000244:	0.857614204545455	0.142385795454545		1
000245:	0.528479545454545	0.471520454545455		1
000246:	0.071239772727273	0.928760227272727		1
000247:	0.299268181818182	0.700731818181818		1
000248:	0.778768181818182	0.221231818181818		1
000249:	0.116842045454545	0.883157954545455		1
