Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	
000043:	0.931649431818182	0.028628409090909	0.039722159090909		1
000044:	0.785464204545455	0.036488068181818	0.178047727272727		1
000045:	0.158256250000000	0.017788636363636	0.823955113636364		1
000046:	0.138294318181818	0.113843181818182	0.747862500000000		1
000047:	0.369342045454545	0.154696022727273	0.475961931818182		1
000048:	0.913484090909091	0.059979545454545	0.026536363636364		1
000049:	0.859588068181818	0.046044886363636	0.094367045454545		1
000050:	0.817309090909091	0.029513636363636	0.153177272727273		1
000051:	0.944664204545455	0.042235227272727	0.013100568181818		1
000052:	0.931606250000000	0.055666477272727	0.012727272727273		1
000053:	0.888789772727273	0.017487500000000	0.093722727272727		1
000054:	0.170922159090909	0.051250000000000	0.777827840909091		1
000055:	0.968972159090909	0.016582954545455	0.014444886363636		1
000056:	0.920345454545455	0.018112500000000	0.061542045454545		1
000057:	0.858321022727273	0.025987500000000	0.115691477272727		1
000058:	0.631421590909091	0.032549431818182	0.336028977272727		1
000059:	0.305870454545455	0.018774431818182	0.675355113636364		1
000060:	0.961411931818182	0.013697727272727	0.024890340909091		1
000061:	0.925737500000000	0.015886931818182	0.058375568181818		1
000062:	0.953100568181818	0.030836931818182	0.016062500000000		1
000063:	0.883992045454545	0.096033522727273	0.019974431818182		1
000064:	0.813363636363636	0.176009090909091	0.010627272727273		1
000065:	0.910644886363636	0.060041477272727	0.029313636363636		1
000066:	0.868923863636364	0.022097159090909	0.108978977272727		1
000067:	0.888265340909091	0.092780681818182	0.018953977272727		1
000068:	0.524294886363636	0.029243750000000	0.446461363636364		1
000069:	0.847691477272727	0.017354545454545	0.134953977272727		1
000070:	0.758546022727273	0.085724431818182	0.155729545454545		1
000071:	0.600761931818182	0.034643181818182	0.364594886363636		1
000072:	0.964485227272727	0.020276136363636	0.015238636363636		1
000073:	0.957877840909091	0.016432386363636	0.025689772727273		1
000074:	0.230146590909091	0.036417613636364	0.733435795454545		1
000075:	0.787015340909091	0.037508522727273	0.175476136363636		1
000076:	0.186416477272727	0.538625000000000	0.274958522727273		1
000077:	0.442373295454545	0.374377272727273	0.183249431818182		1
000078:	0.904899431818182	0.075209090909091	0.019891477272727		1
000079:	0.634193181818182	0.038172727272727	0.327634090909091		1
000080:	0.190972159090909	0.045750568181818	0.763277272727273		1
000081:	0.958776704545454	0.017414772727273	0.023808522727273		1
000082:	0.961835227272727	0.024045454545455	0.014119318181818		1
000083:	0.831255681818182	0.036848863636364	0.131895454545455		1
000084:	0.738053977272727	0.176597159090909	0.085348863636364		1
000085:	0.839114204545455	0.044967613636364	0.115918181818182		1
000086:	0.901370454545455	0.045499431818182	0.053130113636364		1
000087:	0.942102272727273	0.011343750000000	0.046553977272727		1
000088:	0.369530681818182	0.019074431818182	0.611394886363636		1
000089:	0.517351136363636	0.041042045454545	0.441606818181818		1
000090:	0.155953409090909	0.029919318181818	0.814127272727273		1
000091:	0.096239204545455	0.174280681818182	0.729480113636364		1
000092:	0.843331818181818	0.025817613636364	0.130850568181818		1
000093:	0.644976704545455	0.071092613636364	0.283930681818182		1
000094:	0.719839772727273	0.034598863636364	0.245561363636364		1
000095:	0.967063636363636	0.020785227272727	0.012151136363636		1
000096:	0.961395454545454	0.020226136363636	0.018378409090909		1
000097:	0.397219886363636	0.031876136363636	0.570903977272727		1
000098:	0.775496022727273	0.029042613636364	0.195461363636364		1
000099:	0.854927272727273	0.038460795454545	0.106611931818182		1
000100:	0.966819886363636	0.021097159090909	0.012082954545455		1
000101:	0.840933522727273	0.014685227272727	0.144381250000000		1
000102:	0.903980113636364	0.030646590909091	0.065373295454545		1
000103:	0.509446022727273	0.156478977272727	0.334075000000000		1
000104:	0.962190909090909	0.020173863636364	0.017635227272727		1
000105:	0.655413636363636	0.016524431818182	0.328061931818182		1
000106:	0.188989204545455	0.046628977272727	0.764381818181818		1
000107:	0.911210227272727	0.018769318181818	0.070020454545455		1
000108:	0.927871022727273	0.040406250000000	0.031722727272727		1
000109:	0.611635227272727	0.049359090909091	0.339005681818182		1
000110:	0.090349431818182	0.162786931818182	0.746863636363636		1
000111:	0.913033522727273	0.055507954545455	0.031458522727273		1
000112:	0.361170454545455	0.039252840909091	0.599576704545455		1
000113:	0.955318181818182	0.025118181818182	0.019563636363636		1
000114:	0.305308522727273	0.255572159090909	0.439119318181818		1
000115:	0.775994886363636	0.035529545454545	0.188475568181818		1
000116:	0.958681818181818	0.021207954545455	0.020110227272727		1
000117:	0.698578977272727	0.066161931818182	0.235259090909091		1
000118:	0.893965340909091	0.094408522727273	0.011626136363636		1
000119:	0.734197727272727	0.017937500000000	0.247864772727273		1
000120:	0.648594318181818	0.351252840909091	0.000152840909091		1
000121:	0.486874431818182	0.073615909090909	0.439509659090909		1
000122:	0.852317045454545	0.010035227272727	0.137647727272727		1
000123:	0.874141477272727	0.088432386363636	0.037426136363636		1
000124:	0.389634090909091	0.183047159090909	0.427318750000000		1
000125:	0.431059090909091	0.545236363636364	0.023704545454545		1
000126:	0.034351136363636	0.953464772727273	0.012184090909091		1
000127:	0.894677272727273	0.047843750000000	0.057478977272727		1
000128:	0.897115340909091	0.068690340909091	0.034194318181818		1
000129:	0.088940340909091	0.013924431818182	0.897135227272727		1
000130:	0.920237500000000	0.049963636363636	0.029798863636364		1
000131:	0.826594318181818	0.033454545454545	0.139951136363636		1
000132:	0.954911931818182	0.020257954545455	0.024830113636364		1
000133:	0.152632954545455	0.524334090909091	0.323032954545455		1
000134:	0.627611931818182	0.070090340909091	0.302297727272727		1
000135:	0.036105113636364	0.018809090909091	0.945085795454545		1
000136:	0.918305113636364	0.046742613636364	0.034952272727273		1
000137:	0.122901704545455	0.025149431818182	0.851948863636364		1
000138:	0.724163636363636	0.165856818181818	0.109979545454545		1
000139:	0.770520454545455	0.084788068181818	0.144691477272727		1
000140:	0.055219318181818	0.017252272727273	0.927528409090909		1
000141:	0.589334659090909	0.366112500000000	0.044552840909091		1
000142:	0.657659090909091	0.027164204545455	0.315176704545455		1
000143:	0.881876136363636	0.038244886363636	0.079878977272727		1
000144:	0.891317613636364	0.030565340909091	0.078117045454545		1
000145:	0.853423863636364	0.075535227272727	0.071040909090909		1
000146:	0.774230113636364	0.045892613636364	0.179877272727273		1
000147:	0.849461363636364	0.108564204545455	0.041974431818182		1
000148:	0.896196022727273	0.068003977272727	0.035800000000000		1
000149:	0.698173295454545	0.134281818181818	0.167544886363636		1
000150:	0.231505681818182	0.026532954545455	0.741961363636364		1
000151:	0.880850568181818	0.085803409090909	0.033346022727273		1
000152:	0.846765909090909	0.071685795454545	0.081548295454545		1
000153:	0.723665340909091	0.020525568181818	0.255809090909091		1
000154:	0.966895454545455	0.021548863636364	0.011555681818182		1
000155:	0.913306818181818	0.019135795454545	0.067557386363636		1
000156:	0.928905113636364	0.019147727272727	0.051947159090909		1
000157:	0.915386363636364	0.053048295454545	0.031565340909091		1
000158:	0.352078409090909	0.496010227272727	0.151911363636364		1
000159:	0.291837500000000	0.354411931818182	0.353750568181818		1
000160:	0.035531250000000	0.948896590909091	0.015572159090909		1
000161:	0.163841477272727	0.779432954545455	0.056725568181818		1
000162:	0.061520454545455	0.332717045454545	0.605762500000000		1
000163:	0.964570454545455	0.018496590909091	0.016932954545455		1
000164:	0.906801136363636	0.074475000000000	0.018723863636364		1
000165:	0.918595454545455	0.061438068181818	0.019966477272727		1
000166:	0.959855681818182	0.020051704545455	0.020092613636364		1
000167:	0.899128409090909	0.071438636363636	0.029432954545455		1
000168:	0.899718181818182	0.020646590909091	0.079635227272727		1
000169:	0.860848295454545	0.029577272727273	0.109574431818182		1
000170:	0.920934659090909	0.037266477272727	0.041798863636364		1
000171:	0.936155681818182	0.035776704545455	0.028067613636364		1
000172:	0.751255113636364	0.134448863636364	0.114296022727273		1
000173:	0.941952272727273	0.022985227272727	0.035062500000000		1
000174:	0.647988636363636	0.019017613636364	0.332993750000000		1
000175:	0.959163636363636	0.015873863636364	0.024962500000000		1
000176:	0.802456818181818	0.089122159090909	0.108421022727273		1
000177:	0.817355113636364	0.020998295454545	0.161646590909091		1
000178:	0.909932386363636	0.012688068181818	0.077379545454545		1
000179:	0.933336931818182	0.047981250000000	0.018681818181818		1
000180:	0.874160227272727	0.050659659090909	0.075180113636364		1
000181:	0.866708522727273	0.115829545454545	0.017461931818182		1
000182:	0.522845454545455	0.068920454545455	0.408234090909091		1
000183:	0.956613068181818	0.029513636363636	0.013873295454545		1
000184:	0.858660795454545	0.064636363636364	0.076702840909091		1
000185:	0.312888068181818	0.079935795454545	0.607176136363636		1
000186:	0.703180113636364	0.201639204545455	0.095180681818182		1
000187:	0.937455113636364	0.040361931818182	0.022182954545455		1
000188:	0.655681818181818	0.298826136363636	0.045492045454545		1
000189:	0.972420454545455	0.014805113636364	0.012774431818182		1
000190:	0.762296590909091	0.150621590909091	0.087081818181818		1
000191:	0.940468750000000	0.014232386363636	0.045298863636364		1
000192:	0.587545454545455	0.064610227272727	0.347844318181818		1
000193:	0.709769886363636	0.040661931818182	0.249568181818182		1
000194:	0.747241477272727	0.043243750000000	0.209514772727273		1
000195:	0.894742045454545	0.019930681818182	0.085327272727273		1
000196:	0.585635795454545	0.395972727272727	0.018391477272727		1
000197:	0.918756818181818	0.048376704545455	0.032866477272727		1
000198:	0.273197727272727	0.082365909090909	0.644436363636364		1
000199:	0.862505681818182	0.112546022727273	0.024948295454545		1
000200:	0.690037500000000	0.263796022727273	0.046166477272727		1
000201:	0.953373863636364	0.028627272727273	0.017998863636364		1
000202:	0.838793750000000	0.044059090909091	0.117147159090909		1
000203:	0.924656818181818	0.054675568181818	0.020667613636364		1
000204:	0.851445454545455	0.126042045454545	0.022512500000000		1
000205:	0.919907954545455	0.063056818181818	0.017035227272727		1
000206:	0.757273863636364	0.071404545454545	0.171321590909091		1
000207:	0.405913068181818	0.198964204545455	0.395122727272727		1
000208:	0.955599431818182	0.024322159090909	0.020078409090909		1
000209:	0.868971022727273	0.093382954545455	0.037646022727273		1
000210:	0.858725568181818	0.014077840909091	0.127196590909091		1
000211:	0.952515340909091	0.023547727272727	0.023936931818182		1
000212:	0.624667045454545	0.351011363636364	0.024321590909091		1
000213:	0.903633522727273	0.078317045454545	0.018049431818182		1
000214:	0.619147159090909	0.341793750000000	0.039059090909091		1
000215:	0.462817613636364	0.238840909090909	0.298341477272727		1
000216:	0.841114772727273	0.128811931818182	0.030073295454545		1
000217:	0.780503409090909	0.195462500000000	0.024034090909091		1
000218:	0.912923863636364	0.064902272727273	0.022173863636364		1
000219:	0.603913068181818	0.377260227272727	0.018826704545455		1
000220:	0.843513636363636	0.142121590909091	0.014364772727273		1
000221:	0.945364204545455	0.042067045454545	0.012568750000000		1
000222:	0.910667613636364	0.072730113636364	0.016602272727273		1
000223:	0.727497159090909	0.050993181818182	0.221509659090909		1
000224:	0.382736931818182	0.016580681818182	0.600682386363636		1
000225:	0.353595454545455	0.014580113636364	0.631824431818182		1
000226:	0.748958522727273	0.139318181818182	0.111723295454545		1
000227:	0.253092613636364	0.044513068181818	0.702394318181818		1
000228:	0.025748295454545	0.408717613636364	0.565534090909091		1
000229:	0.524340909090909	0.079043750000000	0.396615340909091		1
000230:	0.076139204545455	0.906730113636364	0.017130681818182		1
000231:	0.387805681818182	0.063696590909091	0.548497727272727		1
000232:	0.799515340909091	0.157989772727273	0.042494886363636		1
000233:	0.294707954545455	0.046939772727273	0.658352272727273		1
000234:	0.065968181818182	0.042690340909091	0.891341477272727		1
