Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	
000001:	0.515771022727273	0.083713636363636	0.320149431818182	0.080365909090909		1
000002:	0.368742045454545	0.119212500000000	0.485432954545455	0.026612500000000		1
000003:	0.671811363636364	0.053327840909091	0.232229545454545	0.042631250000000		1
000004:	0.061255681818182	0.802568181818182	0.120641477272727	0.015534659090909		1
000005:	0.837139204545455	0.035014204545455	0.092133522727273	0.035713068181818		1
000006:	0.101510795454545	0.673402840909091	0.123077272727273	0.102009090909091		1
000007:	0.344824431818182	0.045654545454545	0.584365909090909	0.025155113636364		1
000008:	0.531142613636364	0.073039772727273	0.364388068181818	0.031429545454545		1
000009:	0.390094886363636	0.389576136363636	0.174985227272727	0.045343750000000		1
000010:	0.717098863636364	0.091579545454545	0.121094886363636	0.070226704545455		1
000011:	0.377666477272727	0.172539204545455	0.409953409090909	0.039840909090909		1
000012:	0.692205113636364	0.110481818181818	0.029604545454545	0.167708522727273		1
000013:	0.142225568181818	0.179311363636364	0.043697727272727	0.634765340909091		1
000014:	0.029589772727273	0.929160227272727	0.023181250000000	0.018068750000000		1
000015:	0.776000000000000	0.167737500000000	0.031186931818182	0.025075568181818		1
000016:	0.051664204545455	0.916586931818182	0.017709659090909	0.014039204545455		1
000017:	0.839146590909091	0.088286363636364	0.047517045454545	0.025050000000000		1
000018:	0.200467613636364	0.059169886363636	0.022658522727273	0.717703977272727		1
000019:	0.848603409090909	0.026973863636364	0.042877272727273	0.081545454545455		1
000020:	0.692834090909091	0.221806250000000	0.041470454545455	0.043889204545455		1
000021:	0.411902840909091	0.019047727272727	0.257782386363636	0.311267045454545		1
000022:	0.835500000000000	0.065453977272727	0.032640909090909	0.066405113636364		1
000023:	0.392155113636364	0.053615340909091	0.282332386363636	0.271897159090909		1
000024:	0.020152272727273	0.947122159090909	0.014189204545455	0.018536363636364		1
000025:	0.214062500000000	0.178979545454545	0.066636931818182	0.540321022727273		1
000026:	0.797382954545454	0.021627840909091	0.024452272727273	0.156536931818182		1
000027:	0.233075568181818	0.039559659090909	0.029822727272727	0.697542045454545		1
000028:	0.536746590909091	0.048239204545455	0.372957954545455	0.042056250000000		1
000029:	0.687097159090909	0.111453977272727	0.073105113636364	0.128343750000000		1
000030:	0.810052272727273	0.057396590909091	0.090109090909091	0.042442045454545		1
000031:	0.132402272727273	0.031286931818182	0.031530113636364	0.804780681818182		1
000032:	0.633480113636364	0.050021590909091	0.081815340909091	0.234682954545455		1
000033:	0.757618181818182	0.049914772727273	0.114355113636364	0.078111931818182		1
000034:	0.040636931818182	0.925387500000000	0.019341477272727	0.014634090909091		1
000035:	0.153926704545455	0.035905113636364	0.337894318181818	0.472273863636364		1
000036:	0.465865909090909	0.078785227272727	0.407984659090909	0.047364204545455		1
000037:	0.791229545454545	0.054677272727273	0.027364204545455	0.126728977272727		1
000038:	0.185790909090909	0.068759659090909	0.640968750000000	0.104480681818182		1
000039:	0.520412500000000	0.114041477272727	0.042649431818182	0.322896590909091		1
000040:	0.072619318181818	0.864626704545455	0.040088636363636	0.022665340909091		1
000041:	0.722347159090909	0.093330113636364	0.046411931818182	0.137910795454545		1
000042:	0.207171022727273	0.093410795454545	0.046946022727273	0.652472159090909		1
000043:	0.812772727272727	0.078263636363636	0.077066477272727	0.031897159090909		1
000044:	0.747204545454545	0.056406250000000	0.068203409090909	0.128185795454545		1
000045:	0.632917045454545	0.021509659090909	0.023739772727273	0.321833522727273		1
000046:	0.127644886363636	0.068043181818182	0.169856250000000	0.634455681818182		1
000047:	0.231930681818182	0.187892613636364	0.212592613636364	0.367584090909091		1
000048:	0.797650568181818	0.050423863636364	0.124405113636364	0.027520454545455		1
000049:	0.884731818181818	0.036142045454545	0.040782386363636	0.038343750000000		1
000050:	0.514318181818182	0.287359659090909	0.076748863636364	0.121573295454545		1
000051:	0.034867613636364	0.923321590909091	0.026237500000000	0.015573295454545		1
000052:	0.047648863636364	0.914482954545455	0.021516477272727	0.016351704545455		1
