30000	4	1	
0	0	0	0	
0.188827	0.395299	0.353422	0.231389	
0.435633	0.663198	0.435741	0.409703	
0.512053	0.745081	0.679961	0.549141	
0.549993	0.737885	0.709492	0.609084	
0.597038	0.883607	0.796117	0.66479	
0.662346	0.944657	0.781624	0.677814	
0.602612	0.876725	0.795618	0.718328	
0.773175	0.900965	0.866553	0.752114	
0.705268	0.936326	0.885947	0.714414	
0.705344	0.921304	0.895481	0.73384	
0.665543	0.921056	0.901648	0.740504	
0.653111	0.990714	0.816483	0.784741	
0.751674	0.951152	0.969501	0.800605	
0.720866	0.90172	0.978931	0.797152	
0.722385	0.947747	0.873527	0.76921	
0.702231	1.00339	0.992637	0.79196	
0.678211	1.01341	0.936026	0.815704	
0.691022	0.966783	0.907964	0.726638	
0.70686	0.927315	0.96395	0.759799	
0.834948	1.03362	0.804087	0.757706	
0.750448	0.996147	0.949066	0.787827	
0.782055	0.951188	0.85684	0.780495	
0.75247	0.983426	0.873005	0.858465	
0.765602	1.02793	0.976468	0.794722	
0.780369	0.976265	0.976513	0.816026	
0.707544	1.01542	0.931191	0.923535	
0.8854	1.01265	0.945891	0.804451	
0.728848	1.0123	1.00459	0.838068	
0.713276	0.97894	1.04113	0.848503	
0.743128	0.980628	1.0348	0.904619	
0.817907	0.943578	0.989508	0.817776	
0.801081	0.922204	0.917147	0.83365	
0.729332	0.995129	0.991801	0.886584	
0.744599	1.0159	0.94005	0.760186	
0.735276	1.01348	0.996189	0.886939	
0.824362	0.978287	1.01987	0.817061	
0.795169	1.00417	1.05072	0.868159	
0.753107	1.03502	0.949668	0.841378	
0.806216	1.01632	0.99602	0.868731	
0.748735	1.03814	1.02609	0.767549	
0.744998	1.05227	1.03123	0.88641	
0.798471	0.975424	1.07038	0.829912	
0.796275	0.979042	0.957997	0.796713	
0.769197	1.05257	1.05107	0.836992	
0.76678	1.0604	1.12551	0.888544	
0.789734	1.00607	0.992386	0.917683	
0.769856	1.01708	1.02315	0.87709	
0.809936	0.952676	0.927691	0.850494	
0.750166	1.06138	0.979608	0.780299	
0.789062	1.09758	1.03351	0.813856	
0.736663	0.933809	1.02896	0.809742	
0.716577	0.976495	1.01506	0.820566	
0.772991	0.906707	1.04448	0.848927	
0.81133	0.88842	0.996733	0.799173	
0.732818	0.931814	0.964196	0.855852	
0.795984	0.833223	1.03726	0.826558	
0.827452	0.917965	0.994112	0.827402	
0.711768	0.982339	0.875634	0.88645	
0.731635	1.00283	0.957816	0.794295	
0.801228	0.973669	0.910952	0.713727	
0.732315	0.98056	0.971731	0.699176	
0.63205	0.960504	0.866635	0.762089	
0.765064	0.903866	0.855339	0.672305	
0.682242	0.94085	0.886126	0.712356	
0.79997	0.830849	0.927505	0.732223	
0.737314	0.908437	0.862067	0.682706	
0.688542	0.935539	0.93068	0.695033	
0.648777	0.944118	0.85146	0.676444	
0.632225	0.886882	0.9424	0.812105	
0.625039	0.924061	0.958153	0.772261	
0.6868	0.910783	0.950875	0.644162	
0.637024	0.875828	0.903771	0.719309	
0.645912	0.839276	0.885835	0.738738	
0.621688	0.903456	0.937523	0.691642	
0.649847	0.930042	0.896153	0.716813	
0.695346	0.845445	0.873333	0.646564	
0.537635	0.896008	0.883324	0.772271	
0.652943	0.872043	0.933895	0.770723	
0.602207	0.863251	0.922815	0.711005	
0.637316	0.899654	0.808037	0.75273	
0.602367	0.771668	0.849914	0.736481	
0.592814	0.925563	0.908035	0.754455	
0.685713	0.934608	0.874887	0.723841	
0.648381	0.962464	0.793311	0.752494	
0.644935	0.858835	0.818908	0.638442	
0.655681	0.934075	0.811605	0.74617	
0.664382	0.83004	0.86503	0.755625	
0.713183	0.884016	0.753493	0.654731	
0.639332	0.823225	0.829432	0.745852	
0.616789	0.881652	0.847877	0.659355	
0.618198	0.870468	0.792818	0.7242	
0.586768	0.838727	0.846451	0.770705	
0.625943	0.91605	0.792343	0.646066	
0.654398	0.824074	0.745333	0.699164	
0.632085	0.882919	0.783587	0.71529	
0.580653	0.806418	0.845739	0.6859	
0.546135	0.774988	0.892031	0.785972	
0.56138	0.805507	0.77376	0.83609	
0.561424	0.874286	0.772774	0.690364	
0.548502	0.856377	0.765768	0.704665	
0.613984	0.759037	0.750078	0.749689	
0.601641	0.834975	0.772667	0.691181	
0.551969	0.727698	0.709611	0.767414	
0.617833	0.812147	0.787689	0.652719	
0.585638	0.779041	0.800509	0.64254	
0.578692	0.81942	0.851238	0.689512	
0.572409	0.766785	0.82164	0.665478	
0.548188	0.751	0.745832	0.645388	
0.560728	0.877167	0.80783	0.721426	
0.57143	0.805683	0.830574	0.698685	
0.60147	0.769942	0.778152	0.697416	
0.624894	0.792838	0.761132	0.701879	
0.592036	0.812536	0.633466	0.774045	
0.627331	0.778397	0.762829	0.69102	
0.655385	0.820371	0.724154	0.633139	
0.542106	0.757219	0.693004	0.741663	
0.516301	0.829352	0.669762	0.722508	
0.661668	0.790384	0.789628	0.702554	
0.642827	0.872916	0.762517	0.660121	
0.639611	0.902471	0.709782	0.574619	
0.652563	0.841883	0.783431	0.694595	
0.555783	0.775204	0.717414	0.630726	
0.537906	0.818815	0.756733	0.708542	
0.480601	0.84678	0.769589	0.779033	
0.536015	0.787494	0.824048	0.720921	
0.565684	0.792457	0.779163	0.61264	
0.62313	0.801478	0.805515	0.673719	
0.543838	0.819719	0.771741	0.617862	
0.64279	0.780412	0.741717	0.65459	
0.588873	0.817626	0.749152	0.648437	
0.628962	0.790724	0.786777	0.591482	
0.676747	0.813826	0.746875	0.676522	
0.67059	0.745209	0.705869	0.643718	
0.529423	0.861147	0.700465	0.688308	
0.593592	0.818967	0.80833	0.742023	
0.549198	0.875897	0.686768	0.636186	
0.569396	0.837856	0.763801	0.555263	
0.625214	0.870708	0.781984	0.781353	
0.648217	0.874837	0.783912	0.715225	
0.663851	0.87394	0.797504	0.61664	
0.595068	0.801979	0.738947	0.764721	
0.624782	0.873199	0.765954	0.718935	
0.678663	0.81255	0.807674	0.701604	
0.621332	0.842987	0.719854	0.710391	
0.562451	0.898736	0.727871	0.732559	
0.484151	0.86293	0.657943	0.654515	
0.524861	0.81877	0.736757	0.715941	
0.522441	0.854466	0.715382	0.634873	
0.615144	0.772646	0.727856	0.614429	
0.590297	0.905094	0.780025	0.555232	
0.655691	0.815127	0.720472	0.724988	
0.564139	0.869482	0.70259	0.680529	
0.523559	0.846636	0.741387	0.73392	
0.626073	0.789241	0.752666	0.58277	
0.543958	0.783906	0.719858	0.641202	
0.684826	0.806587	0.710935	0.564606	
0.559288	0.736646	0.782517	0.543344	
0.588677	0.784148	0.748912	0.701091	
0.609483	0.795498	0.746206	0.637731	
0.47848	0.766878	0.756824	0.729412	
0.549412	0.780623	0.752172	0.710722	
0.595146	0.788608	0.695181	0.671253	
0.57393	0.823775	0.747372	0.694781	
0.611305	0.844758	0.71701	0.673884	
0.643241	0.712728	0.700125	0.616124	
0.650788	0.739663	0.733213	0.696632	
0.568403	0.723021	0.65481	0.682006	
0.527637	0.811782	0.664135	0.677093	
0.594211	0.825138	0.771036	0.640156	
