Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	***Cluster  05***	***Cluster  06***	
000001:	0.022518181818182	0.076043750000000	0.049110795454545	0.204153977272727	0.545375568181818	0.102797727272727		1
000002:	0.004022727272727	0.018419318181818	0.025875000000000	0.087565909090909	0.842148295454546	0.021968750000000		1
000003:	0.023071590909091	0.198064204545455	0.042409090909091	0.091265909090909	0.611512500000000	0.033676704545455		1
000004:	0.004692045454545	0.032440909090909	0.092063068181818	0.033197727272727	0.821226136363636	0.016380113636364		1
000005:	0.003415909090909	0.040861931818182	0.025496590909091	0.036423863636364	0.856669886363636	0.037131818181818		1
000006:	0.006924431818182	0.032217613636364	0.141668750000000	0.042600568181818	0.728289772727273	0.048298863636364		1
000007:	0.007169886363636	0.038196590909091	0.022687500000000	0.112459659090909	0.795005681818182	0.024480681818182		1
000008:	0.006632954545455	0.030350000000000	0.018058522727273	0.023922159090909	0.907841477272727	0.013194886363636		1
000009:	0.003623863636364	0.052148295454545	0.020747159090909	0.019375568181818	0.881316477272727	0.022788636363636		1
000010:	0.005061931818182	0.026842045454545	0.021437500000000	0.029867613636364	0.861103977272727	0.055686931818182		1
000011:	0.089294318181818	0.230260227272727	0.274285227272727	0.099482386363636	0.186767613636364	0.119910227272727		1
000012:	0.113885227272727	0.404367045454545	0.139258522727273	0.028632386363636	0.106411363636364	0.207445454545455		1
000013:	0.192817613636364	0.160308522727273	0.292733522727273	0.029923863636364	0.066336363636364	0.257880113636364		1
000014:	0.024682386363636	0.028398295454545	0.785630681818182	0.024537500000000	0.095426704545455	0.041324431818182		1
000015:	0.036067613636364	0.469750568181818	0.099923863636364	0.024777272727273	0.258378409090909	0.111102272727273		1
000016:	0.027472727272727	0.033160227272727	0.673360795454545	0.032097727272727	0.192810227272727	0.041098295454545		1
000017:	0.032830681818182	0.127263068181818	0.176000000000000	0.074300000000000	0.200026704545455	0.389579545454545		1
000018:	0.411916477272727	0.120584090909091	0.108164204545455	0.022805681818182	0.060965909090909	0.275563636363636		1
000019:	0.063526704545455	0.575841477272727	0.062509090909091	0.028485227272727	0.161267613636364	0.108369886363636		1
000020:	0.040475000000000	0.080755681818182	0.408825000000000	0.061698295454545	0.182448295454545	0.225797727272727		1
000021:	0.037853977272727	0.314618750000000	0.041477840909091	0.077254545454545	0.052067045454545	0.476727840909091		1
000022:	0.034996590909091	0.594150568181818	0.129772727272727	0.015634090909091	0.051288636363636	0.174157386363636		1
000023:	0.181003977272727	0.209883522727273	0.149537500000000	0.084239772727273	0.148424431818182	0.226910795454545		1
000024:	0.028395454545455	0.014540340909091	0.834246022727273	0.009548863636364	0.060880681818182	0.052388636363636		1
000025:	0.272509659090909	0.185284090909091	0.334099431818182	0.028602272727273	0.075105681818182	0.104398863636364		1
000026:	0.032000000000000	0.809378977272727	0.019252840909091	0.009146590909091	0.025542045454545	0.104679545454545		1
000027:	0.089488636363636	0.045957954545455	0.078728409090909	0.023597727272727	0.057971590909091	0.704255681818182		1
000028:	0.053518750000000	0.186555681818182	0.089196590909091	0.144609659090909	0.306828977272727	0.219290340909091		1
000029:	0.071588636363636	0.137407386363636	0.259847727272727	0.052663636363636	0.119950000000000	0.358542613636364		1
000030:	0.078982954545455	0.565488636363636	0.140603409090909	0.039775000000000	0.111771590909091	0.063378409090909		1
000031:	0.202652840909091	0.082073863636364	0.063626136363636	0.025600000000000	0.032988636363636	0.593058522727273		1
000032:	0.043638068181818	0.049190909090909	0.111397159090909	0.033574431818182	0.062521590909091	0.699677840909091		1
000033:	0.011863636363636	0.224859090909091	0.005243750000000	0.266402840909091	0.383196022727273	0.108434659090909		1
000034:	0.024803409090909	0.030026704545455	0.852190340909091	0.012204545454545	0.037166477272727	0.043608522727273		1
000035:	0.173827272727273	0.113004545454545	0.082440909090909	0.090855681818182	0.075803977272727	0.464067613636364		1
000036:	0.044926704545455	0.157398295454545	0.121935795454545	0.091618750000000	0.210777840909091	0.373342613636364		1
000037:	0.032577840909091	0.058252840909091	0.101802272727273	0.024071590909091	0.109401136363636	0.673894318181818		1
000038:	0.248867613636364	0.207918750000000	0.203094886363636	0.132918750000000	0.104657386363636	0.102542613636364		1
000039:	0.131032954545455	0.425832386363636	0.151048295454545	0.029406818181818	0.068622159090909	0.194057386363636		1
