Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	***Cluster  05***	***Cluster  06***	***Cluster  07***	
000001:	0.096826136363636	0.374596022727273	0.081703409090909	0.174752840909091	0.071471022727273	0.081018181818182	0.119632386363636		1
000002:	0.028184659090909	0.805684090909091	0.051090340909091	0.056274431818182	0.014777840909091	0.014762500000000	0.029226136363636		1
000003:	0.108952840909091	0.476196022727273	0.040885227272727	0.068631818181818	0.255190340909091	0.007876704545455	0.042267045454545		1
000004:	0.093861931818182	0.548096022727273	0.161565340909091	0.127079545454545	0.024670454545455	0.007872159090909	0.036854545454545		1
000005:	0.067388068181818	0.766544318181818	0.036606250000000	0.072526136363636	0.014373863636364	0.006261363636364	0.036300000000000		1
000006:	0.028400568181818	0.211013636363636	0.129120454545455	0.415934090909091	0.028953409090909	0.012685227272727	0.173892613636364		1
000007:	0.039223863636364	0.757275568181818	0.029949431818182	0.102965340909091	0.027598295454545	0.009807386363636	0.033180113636364		1
000008:	0.029616477272727	0.833547159090909	0.024694318181818	0.058056250000000	0.022309090909091	0.013575568181818	0.018201136363636		1
000009:	0.046251136363636	0.609515909090909	0.099748295454545	0.165956818181818	0.013399431818182	0.007431818181818	0.057696590909091		1
000010:	0.039671590909091	0.752436363636364	0.126078977272727	0.030368750000000	0.014632386363636	0.004800000000000	0.032011931818182		1
000011:	0.179038068181818	0.226222727272727	0.222088068181818	0.054017613636364	0.076240340909091	0.084056818181818	0.158336363636364		1
000012:	0.483230113636364	0.060015909090909	0.130467613636364	0.026693181818182	0.024276704545455	0.081917045454545	0.193399431818182		1
000013:	0.148906250000000	0.040243750000000	0.241756250000000	0.019661931818182	0.021601136363636	0.323061363636364	0.204769318181818		1
000014:	0.020809659090909	0.022385227272727	0.866198295454545	0.015628409090909	0.009318750000000	0.022286363636364	0.043373295454545		1
000015:	0.395685795454545	0.132819886363636	0.175140340909091	0.039750000000000	0.054297159090909	0.037636931818182	0.164669886363636		1
000016:	0.057965340909091	0.045913636363636	0.800735227272727	0.014631818181818	0.014847727272727	0.027605681818182	0.038300568181818		1
000017:	0.285673295454545	0.225221590909091	0.118481250000000	0.022048863636364	0.048176704545455	0.025077840909091	0.275320454545455		1
000018:	0.197001136363636	0.039024431818182	0.070838636363636	0.020611363636364	0.038708522727273	0.177221590909091	0.456594318181818		1
000019:	0.588708522727273	0.096763068181818	0.064005681818182	0.022946022727273	0.031003409090909	0.091428977272727	0.105144318181818		1
000020:	0.093448295454545	0.123196590909091	0.425909090909091	0.020594318181818	0.030385795454545	0.050215340909091	0.256250568181818		1
